预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20141130,20141231,000001,19200000000.0,招商证券,肖立强
20141201,20141231,000001,19200000000.0,招商证券,肖立强
20141217,20141231,000001,19269000000.0,瑞银证券,甘宗卫
20141218,20141231,000001,19926000000.0,中信建投,杨荣
20141103,20141231,000002,16470000000.0,Deutsche Bank,Jason Ching
20141104,20141231,000002,18004000000.0,中投证券,李少明
20141104,20141231,000002,18928000000.0,国泰君安,侯丽科
20141105,20141231,000002,17351000000.0,广发证券,乐加栋
20141105,20141231,000002,18051000000.0,申银万国,韩思怡
20141105,20141231,000002,18883000000.0,海通证券,涂力磊
20141105,20141231,000002,19174500000.0,安信证券,万知
20141106,20141231,000002,17668000000.0,中金公司,宁静鞭
20141203,20141231,000002,18471000000.0,光大证券,谢皓宇
20141205,20141231,000002,18883000000.0,海通证券,涂力磊
20141205,20141231,000002,18345000000.0,中信证券,陈聪
20141205,20141231,000002,17378000000.0,群益证券,王睿哲
20141205,20141231,000002,18051000000.0,申银万国,韩思怡
20141205,20141231,000002,19174500000.0,安信证券,万知
20141208,20141231,000002,16470000000.0,Deutsche Bank,Jason Ching
20141210,20141231,000002,16266000000.0,瑞银证券,林翰
20141210,20141231,000002,16470400000.0,Deutsche Bank,Jason Ching
20141230,20141231,000002,18284000000.0,海通证券,涂力磊
20141124,20141231,000006,986000000.0,方正证券,肖肖
20141125,20141231,000006,819000000.0,平安证券,王琳
20141201,20141231,000018,183400000.0,安信证券,杨涛
20141118,20141231,000021,290910000.0,中信建投,吕江峰
20141208,20141231,000021,275000000.0,国元证券,常格非
20141110,20141231,000024,4541000000.0,申银万国,韩思怡
20141110,20141231,000024,4839000000.0,中金公司,宁静鞭
20141205,20141231,000024,4692700000.0,中信建投,苏雪晶
20141208,20141231,000024,5492640000.0,信达证券,崔娟
20141210,20141231,000024,4294000000.0,群益证券,王睿哲
20141210,20141231,000024,4580000000.0,东兴证券,郑闵钢
20141211,20141231,000024,5248000000.0,Deutsche Bank,Tony Tsang
20141211,20141231,000024,5351000000.0,瑞银证券,林翰
20141228,20141231,000024,5037000000.0,中投证券,李少明
20141212,20141231,000027,1876000000.0,瑞银证券,徐颖真
20141215,20141231,000027,1806000000.0,民生证券,陶贻功
20141216,20141231,000031,621000000.0,东兴证券,郑闵钢
20141209,20141231,000035,170000000.0,申银万国,向志辉
20141210,20141231,000035,170000000.0,厦门证券,潘永乐
20141217,20141231,000035,170000000.0,申银万国,向志辉
20141110,20141231,000039,2492000000.0,广发证券,罗立波
20141111,20141231,000042,639180000.0,方正证券,肖肖
20141226,20141231,000042,447000000.0,中银国际,田世欣
20141218,20141231,000043,589000000.0,东兴证券,郑闵钢
20141120,20141231,000045,18000000.0,兴业证券,刘亮
20141127,20141231,000045,-101000000.0,国泰君安,牟卿
20141204,20141231,000045,-98000000.0,兴业证券,刘亮
20141203,20141231,000046,1591000000.0,中投证券,李少明
20141208,20141231,000046,1726000000.0,平安证券,缴文超
20141230,20141231,000050,659000000.0,东北证券,吴娜
20141125,20141231,000055,105000000.0,宏源证券,王凤华
20141126,20141231,000055,111000000.0,申银万国,孔凌飞
20141225,20141231,000055,111000000.0,申银万国,孔凌飞
20141208,20141231,000059,-1295000000.0,国信证券,朱海涛
20141105,20141231,000063,2711000000.0,中信证券,陈剑
20141112,20141231,000063,2862000000.0,瑞银证券,王进琎
20141112,20141231,000063,2830270000.0,浙商证券,杨云
20141114,20141231,000063,3059000000.0,国泰君安,宋嘉吉
20141125,20141231,000063,3059000000.0,国泰君安,宋嘉吉
20141208,20141231,000063,2830270000.0,浙商证券,杨云
20141209,20141231,000063,2830270000.0,浙商证券,杨云
20141217,20141231,000063,2711000000.0,中信证券,陈剑
20141217,20141231,000063,2689670000.0,光大证券,田明华
20141222,20141231,000063,2575000000.0,中金公司,陈昊飞
20141229,20141231,000088,410200000.0,安信证券,张龙
20141103,20141231,000089,229700000.0,安信证券,张龙
20141208,20141231,000089,305000000.0,瑞银证券,陈欣
20141210,20141231,000089,255000000.0,中金公司,沈晓峰
20141106,20141231,000090,432340000.0,方正证券,肖肖
20141107,20141231,000090,486000000.0,平安证券,王琳
20141107,20141231,000090,399000000.0,国信证券,区瑞明
20141128,20141231,000090,486000000.0,平安证券,王琳
20141201,20141231,000090,399000000.0,国信证券,区瑞明
20141224,20141231,000090,399000000.0,国信证券,区瑞明
20141224,20141231,000090,486000000.0,平安证券,王琳
20141224,20141231,000090,432340000.0,方正证券,肖肖
20141224,20141231,000090,412000000.0,中银国际,袁豪
20141103,20141231,000099,228700000.0,安信证券,邹润芳
20141223,20141231,000099,224000000.0,东兴证券,孙玉姣
20141110,20141231,000100,3094000000.0,海通证券,陈子仪
20141209,20141231,000100,3094000000.0,海通证券,陈子仪
20141215,20141231,000100,3085000000.0,瑞银证券,廖欣宇
20141229,20141231,000100,3094000000.0,海通证券,陈子仪
20141204,20141231,000150,65000000.0,华创证券,于洋
20141111,20141231,000153,45200000.0,长江证券,刘舒畅
20141229,20141231,000157,1904400000.0,安信证券,王书伟
20141223,20141231,000301,220000000.0,华泰证券,许世刚
20141226,20141231,000301,220000000.0,华泰证券,许世刚
20141119,20141231,000333,10674000000.0,群益证券,许椰惜
20141214,20141231,000333,10824000000.0,民生证券,马科
20141214,20141231,000333,10743000000.0,国泰君安,范杨
20141215,20141231,000333,10634000000.0,海通证券,陈子仪
20141215,20141231,000333,10804000000.0,东兴证券,李常
20141215,20141231,000333,10699000000.0,中金公司,何伟
20141215,20141231,000333,10602000000.0,华泰证券,李艳光
20141215,20141231,000333,10700000000.0,银河证券,郝雪梅
20141215,20141231,000333,10541100000.0,长江证券,徐春
20141215,20141231,000333,10737000000.0,瑞银证券,廖欣宇
20141215,20141231,000333,10374770000.0,中航证券,韩雪
20141215,20141231,000333,10603000000.0,渤海证券,安伟娜
20141215,20141231,000333,10573420000.0,方正证券,吴东炬
20141215,20141231,000333,10674000000.0,群益证券,许椰惜
20141215,20141231,000333,10703000000.0,国信证券,王念春
20141215,20141231,000333,10743000000.0,申银万国,周海晨
20141208,20141231,000338,5523000000.0,中金公司,奉玮
20141201,20141231,000400,963455800.0,海通证券,牛品
20141219,20141231,000400,1059000000.0,东方证券,方重寅
20141215,20141231,000401,234000000.0,瑞银证券,刘强
20141223,20141231,000401,40000000.0,海通证券,邱友锋
20141229,20141231,000401,562520000.0,信达证券,关健鑫
20141205,20141231,000402,3444000000.0,国信证券,区瑞明
20141218,20141231,000402,3285000000.0,东兴证券,郑闵钢
20141219,20141231,000402,3444000000.0,国信证券,区瑞明
20141219,20141231,000402,3068000000.0,中信证券,陈聪
20141223,20141231,000402,3285000000.0,东兴证券,郑闵钢
20141225,20141231,000402,3023000000.0,中投证券,李少明
20141224,20141231,000404,185000000.0,宏源证券,李强
20141121,20141231,000413,812150000.0,西南证券,李孝林
20141121,20141231,000415,954000000.0,华泰证券,沈娟
20141114,20141231,000417,443000000.0,长城证券,陈曙睿
20141209,20141231,000418,621600000.0,安信证券,衡昆
20141130,20141231,000423,1445000000.0,东方证券,田加强
20141201,20141231,000423,1336000000.0,瑞银证券,林娜
20141219,20141231,000423,1335000000.0,国泰君安,屠炜颖
20141122,20141231,000425,1280100000.0,长江证券,刘军
20141210,20141231,000425,1570000000.0,瑞银证券,李博
