预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20151123,20151231,000001,21948000000.0,中金公司,毛军华
20151124,20151231,000001,22616000000.0,国金证券,马鲲鹏
20151103,20151231,000002,17847400000.0,安信证券,陈天诚
20151103,20151231,000002,18499000000.0,民生证券,温阳
20151104,20151231,000002,17176000000.0,群益证券,王睿哲
20151104,20151231,000002,19357000000.0,中金公司,宁静鞭
20151104,20151231,000002,18131000000.0,海通证券,涂力磊
20151110,20151231,000002,18154000000.0,广发证券,乐加栋
20151202,20151231,000002,20943800000.0,高华证券,王逸
20151204,20151231,000002,17176000000.0,群益证券,王睿哲
20151204,20151231,000002,17572000000.0,中投证券,李少明
20151204,20151231,000002,16711000000.0,东方证券,竺劲
20151204,20151231,000002,19357000000.0,中金公司,宁静鞭
20151207,20151231,000002,18148000000.0,中信证券,陈聪
20151208,20151231,000002,16462700000.0,Deutsche Bank,Jason Ching
20151208,20151231,000002,18131000000.0,海通证券,涂力磊
20151221,20151231,000002,18154000000.0,广发证券,乐加栋
20151229,20151231,000002,16463000000.0,Deutsche Bank,Jason Ching
20151110,20151231,000008,184000000.0,华创证券,李佳
20151201,20151231,000008,174000000.0,招商证券,刘荣
20151207,20151231,000008,319000000.0,中信证券,刘海博
20151223,20151231,000008,146000000.0,国海证券,谭倩
20151214,20151231,000009,870000000.0,招商证券,张士宝
20151103,20151231,000012,651000000.0,华泰证券,周焕
20151208,20151231,000012,579000000.0,中投证券,李凡
20151111,20151231,000018,380000000.0,兴业证券,孟杰
20151211,20151231,000018,360700000.0,安信证券,夏天
20151217,20151231,000018,358000000.0,中金公司,廖明兵
20151217,20151231,000018,380000000.0,兴业证券,孟杰
20151218,20151231,000018,360700000.0,安信证券,夏天
20151223,20151231,000018,380000000.0,兴业证券,孟杰
20151225,20151231,000018,365000000.0,华泰证券,鲍荣富
20151227,20151231,000018,380000000.0,兴业证券,孟杰
20151123,20151231,000024,5438000000.0,中投证券,李少明
20151120,20151231,000026,131000000.0,长城证券,黄淑妍
20151125,20151231,000026,150000000.0,国泰君安,訾猛
20151222,20151231,000026,148000000.0,平安证券,徐问
20151221,20151231,000034,51000000.0,兴业证券,袁煜明
20151224,20151231,000036,75000000.0,兴业证券,阎常铭
20151228,20151231,000036,62610000.0,海通证券,涂力磊
20151109,20151231,000040,84000000.0,国泰君安,侯丽科
20151110,20151231,000042,451000000.0,中信建投,苏雪晶
20151111,20151231,000042,509000000.0,广发证券,乐加栋
20151111,20151231,000042,479320000.0,方正证券,郭磊
20151119,20151231,000043,236000000.0,平安证券,王琳
20151204,20151231,000043,236000000.0,平安证券,王琳
20151101,20151231,000046,2770000000.0,中投证券,李少明
20151214,20151231,000046,2527000000.0,中投证券,李少明
20151230,20151231,000046,2527000000.0,中投证券,李少明
20151109,20151231,000049,269270000.0,国海证券,王凌涛
20151109,20151231,000049,307000000.0,国泰君安,王永辉
20151102,20151231,000050,542000000.0,财富证券,何晨
20151130,20151231,000050,751000000.0,方正证券,孙远峰
20151214,20151231,000050,689000000.0,东北证券,王建伟
20151230,20151231,000050,730000000.0,银河证券,王莉
20151101,20151231,000061,91000000.0,国泰君安,訾猛
20151213,20151231,000061,108700000.0,东吴证券,马浩博
20151222,20151231,000061,94000000.0,广发证券,洪涛
20151102,20151231,000062,308910000.0,海通证券,汪立亭
20151102,20151231,000062,343700000.0,安信证券,刘章明
20151103,20151231,000062,350000000.0,国信证券,梁铮
20151110,20151231,000062,307000000.0,国泰君安,林浩然
20151229,20151231,000062,308910000.0,海通证券,汪立亭
20151101,20151231,000063,3610000000.0,安信证券,李伟
20151102,20151231,000063,3600000000.0,华创证券,马军
20151103,20151231,000063,3902000000.0,兴业证券,唐海清
20151112,20151231,000063,3610000000.0,安信证券,李伟
20151123,20151231,000063,3636700000.0,长江证券,胡路
20151123,20151231,000063,3752000000.0,国泰君安,宋嘉吉
20151124,20151231,000063,3571940000.0,世纪证券,龚鑫
20151124,20151231,000063,3763000000.0,申万宏源,顾海波
20151124,20151231,000063,3600000000.0,华创证券,马军
20151124,20151231,000063,3715000000.0,浙商证券,杨云
20151124,20151231,000063,3610000000.0,安信证券,李伟
20151124,20151231,000063,3311000000.0,中信证券,陈剑
20151208,20151231,000063,3510600000.0,高华证券,侯雪婷
20151208,20151231,000063,3819000000.0,兴业证券,唐海清
20151225,20151231,000068,4380000.0,信达证券,关健鑫
20151116,20151231,000070,131270000.0,广证恒生,张磊
20151223,20151231,000078,453000000.0,国信证券,邓周宇
20151110,20151231,000089,424000000.0,中信证券,刘正
20151115,20151231,000089,440000000.0,招商证券,常涛
20151210,20151231,000089,450000000.0,中金公司,沈晓峰
20151211,20151231,000090,488000000.0,中投证券,李少明
20151223,20151231,000099,215000000.0,中金公司,沈晓峰
20151213,20151231,000100,2843000000.0,中金公司,何伟
20151213,20151231,000100,3143000000.0,国泰君安,范杨
20151217,20151231,000100,2715000000.0,招商证券,纪敏
20151221,20151231,000100,3143000000.0,国泰君安,范杨
20151102,20151231,000150,21000000.0,银河证券,沈海兵
20151101,20151231,000156,568000000.0,华泰证券,许娟
20151101,20151231,000158,214400000.0,安信证券,胡又文
20151203,20151231,000333,12524000000.0,中信证券,金星
20151222,20151231,000333,12729000000.0,中金公司,何伟
20151222,20151231,000333,12730000000.0,招商证券,纪敏
