交易代码,平均预测净利润
1.0,23140500000.0
2.0,26731556363.636364
12.0,938560000.0
21.0,583100000.0
26.0,141390000.0
27.0,1116000000.0
28.0,1186390000.0
34.0,459500000.0
36.0,1495110000.0
38.0,370500000.0
39.0,2715252222.2222223
49.0,350150000.0
50.0,1765900000.0
63.0,4541442857.142858
65.0,626595000.0
69.0,9040500000.0
70.0,261185000.0
89.0,719453333.3333334
99.0,102000000.0
100.0,3188000000.0
150.0,232000000.0
156.0,661400000.0
157.0,1495860000.0
158.0,510825000.0
301.0,240390000.0
333.0,17386153000.0
338.0,6267500000.0
402.0,3045000000.0
408.0,1415500000.0
413.0,1543460000.0
417.0,308500000.0
418.0,1498500000.0
423.0,2075812727.2727273
425.0,1007585000.0
426.0,645402000.0
498.0,602322857.1428572
501.0,1071880000.0
503.0,15500000.0
505.0,184145000.0
513.0,2274440000.0
521.0,162666666.66666666
525.0,703195000.0
528.0,348895000.0
538.0,3262435555.5555553
540.0,2413000000.0
544.0,334000000.0
546.0,383860000.0
552.0,534695000.0
555.0,308700000.0
560.0,66870000.0
568.0,2590596666.6666665
571.0,108990000.0
581.0,2353635000.0
584.0,90100000.0
591.0,869430000.0
596.0,1103500000.0
598.0,1003183333.3333334
599.0,139260000.0
606.0,52880000.0
608.0,331060000.0
620.0,815890000.0
630.0,695000000.0
636.0,266560000.0
651.0,20886438000.0
656.0,1502450000.0
661.0,652240000.0
671.0,1643000000.0
672.0,994920000.0
681.0,291535000.0
703.0,1787938000.0
708.0,422950000.0
709.0,2797570000.0
710.0,227740000.0
711.0,353285000.0
717.0,2264000000.0
723.0,1215900000.0
725.0,8798758333.333334
728.0,1378000000.0
729.0,312000000.0
732.0,1972000000.0
738.0,226000000.0
739.0,275500000.0
756.0,234000000.0
759.0,109605000.0
761.0,2152820000.0
768.0,546400000.0
776.0,8731750000.0
786.0,2198000000.0
789.0,524000000.0
792.0,-1140000000.0
796.0,360396250.0
799.0,184000000.0
800.0,498000000.0
802.0,353350000.0
807.0,672750000.0
813.0,815400000.0
821.0,215333333.33333334
823.0,226000000.0
825.0,3417390000.0
826.0,1389988888.8888888
830.0,1626865714.2857144
858.0,9197614000.0
876.0,2420777500.0
878.0,440000000.0
881.0,378130000.0
887.0,1137616666.6666667
888.0,197836666.66666666
889.0,252000000.0
895.0,4581252000.0
898.0,4850500000.0
902.0,659190000.0
910.0,686408333.3333334
921.0,1837000000.0
925.0,77000000.0
926.0,1052950000.0
928.0,835000000.0
932.0,4136717500.0
933.0,1218300000.0
937.0,1140200000.0
938.0,1483070000.0
951.0,1001000000.0
959.0,2278400000.0
960.0,868500000.0
961.0,848240000.0
963.0,1833984000.0
967.0,430464000.0
968.0,578707500.0
970.0,300666666.6666667
975.0,308000000.0
976.0,428955714.28571427
977.0,452137500.0
980.0,1298500000.0
983.0,1817500000.0
987.0,626000000.0
988.0,367700000.0
997.0,715555000.0
998.0,841290000.0
1696.0,272000000.0
1979.0,11339634285.714285
2001.0,1667756666.6666667
2003.0,349500000.0
2007.0,822657500.0
2008.0,1720766666.6666667
2009.0,143784000.0
2010.0,596000000.0
2013.0,673252000.0
2019.0,1290234444.4444444
2020.0,267786666.66666666
2022.0,233000000.0
2024.0,960380000.0
2025.0,292000000.0
2026.0,133365000.0
2027.0,5535281000.0
2032.0,1296670000.0
2033.0,208487500.0
2035.0,493992500.0
2036.0,309150000.0
2039.0,286790000.0
2041.0,295000000.0
2042.0,697050000.0
2043.0,377000000.0
2044.0,625490909.0909091
2048.0,892000000.0
2049.0,349940000.0
2050.0,1222288000.0
2051.0,1544000000.0
2053.0,169670000.0
2055.0,259296666.66666666
2061.0,1122255000.0
2068.0,467585000.0
2074.0,1062033333.3333334
2078.0,2066193333.3333333
2080.0,821666666.6666666
2081.0,1890881250.0
2083.0,469000000.0
2085.0,1109000000.0
2087.0,309000000.0
2090.0,154415000.0
2091.0,802100000.0
2092.0,2485000000.0
2094.0,452250000.0
2095.0,22090000.0
2097.0,164000000.0
2100.0,504000000.0
2102.0,259000000.0
2108.0,572000000.0
2110.0,3907622857.142857
2111.0,224650000.0
2117.0,256000000.0
2120.0,1649500000.0
2121.0,468560000.0
2123.0,314470000.0
2124.0,308045000.0
2126.0,339430000.0
2127.0,499562500.0
2129.0,624305000.0
2132.0,140000000.0
2135.0,115000000.0
2138.0,386050000.0
2139.0,227000000.0
2140.0,116000000.0
2141.0,16000000.0
2142.0,9043000000.0
2146.0,5474000000.0
2149.0,48000000.0
2151.0,104000000.0
2152.0,1016000000.0
2153.0,418424444.4444444
2156.0,288140000.0
2157.0,647400000.0
2159.0,13720000.0
2164.0,149000000.0
2167.0,49000000.0
2171.0,353000000.0
2174.0,801620000.0
2179.0,836375714.2857143
2180.0,-301086666.6666667
2182.0,179500000.0
2185.0,537542500.0
2191.0,665451000.0
2192.0,4530000.0
2194.0,-520000000.0
2196.0,141000000.0
2202.0,3369200000.0
2217.0,1332098000.0
2218.0,168000000.0
2221.0,1201543333.3333333
2223.0,662500000.0
2228.0,149500000.0
2230.0,512628333.3333333
2236.0,2449480000.0
2239.0,448000000.0
2240.0,28720000.0
2241.0,2261650000.0
2242.0,745850000.0
2244.0,1924500000.0
2245.0,391675000.0
2246.0,78000000.0
2247.0,590260000.0
2251.0,176413333.33333334
2254.0,104333333.33333333
2258.0,349945000.0
2261.0,228500000.0
2262.0,397000000.0
2271.0,1359000000.0
2273.0,394635000.0
2275.0,438000000.0
2279.0,358000000.0
2281.0,352520000.0
2284.0,136120000.0
2285.0,973167142.8571428
2292.0,455300000.0
2294.0,1478874285.7142856
2299.0,312556666.6666667
2301.0,170320000.0
2303.0,358320000.0
2304.0,6782856666.666667
2308.0,297000000.0
2309.0,282000000.0
2310.0,2145860000.0
2311.0,1201328750.0
2313.0,108506000.0
2314.0,586760000.0
2317.0,446035000.0
2318.0,172910000.0
2320.0,260440000.0
2321.0,123350000.0
2322.0,320000000.0
2327.0,469876666.6666667
2332.0,196333333.33333334
2334.0,227400000.0
2338.0,39290000.0
2340.0,576000000.0
2341.0,190877500.0
2343.0,434982857.14285713
2345.0,289000000.0
2352.0,4430062500.0
2353.0,85740000.0
2354.0,1019000000.0
2355.0,78000000.0
2356.0,235000000.0
2361.0,164000000.0
2365.0,191420000.0
2366.0,1001825000.0
2368.0,351840000.0
2369.0,40940000.0
2371.0,137288333.33333334
2372.0,863100000.0
2373.0,494971000.0
2375.0,403300000.0
2376.0,314250000.0
2380.0,108000000.0
2385.0,1269180000.0
2386.0,135000000.0
2390.0,314930000.0
2391.0,238025000.0
2396.0,483310000.0
2402.0,181000000.0
2403.0,161960000.0
2404.0,215240000.0
2405.0,257627500.0
2406.0,192000000.0
2407.0,317090000.0
2408.0,881520000.0
2409.0,85263333.33333333
2410.0,538634444.4444444
2411.0,1096000000.0
2413.0,148940000.0
2414.0,77090000.0
2415.0,9432666666.666666
2416.0,404696666.6666667
2418.0,239100000.0
2419.0,667420000.0
2421.0,336000000.0
2422.0,827900000.0
2427.0,369306666.6666667
2429.0,574100000.0
2430.0,316065000.0
2431.0,303833333.3333333
2434.0,776285000.0
2439.0,451083333.3333333
2440.0,901000000.0
2444.0,678980000.0
2450.0,2654000000.0
2454.0,309000000.0
2455.0,142210000.0
2456.0,1483175000.0
2458.0,-260000000.0
2460.0,1462095000.0
2463.0,225500000.0
2465.0,403326000.0
2466.0,2195815714.285714
2468.0,1603000000.0
2472.0,250235000.0
2475.0,1780000000.0
2479.0,384000000.0
2482.0,560940000.0
2485.0,5000000.0
2491.0,561565000.0
2493.0,2118133333.3333333
2497.0,258760000.0
2501.0,654000000.0
2506.0,234385000.0
2507.0,394615000.0
2508.0,1585750000.0
2509.0,709920000.0
2510.0,163000000.0
2511.0,355501000.0
2512.0,178000000.0
2513.0,118870000.0
2516.0,374650000.0
2517.0,1718250000.0
2518.0,370000000.0
2519.0,242000000.0
2527.0,194700000.0
2529.0,37512000.0
2531.0,492407500.0
2534.0,409000000.0
2536.0,222420000.0
2543.0,437500000.0
2551.0,180540000.0
2555.0,1688363333.3333333
2557.0,324916000.0
2562.0,436250000.0
2563.0,1311268000.0
2564.0,333866666.6666667
2567.0,329340000.0
2568.0,223360000.0
2572.0,934927500.0
2573.0,1019131538.4615384
2582.0,115000000.0
2583.0,628504285.7142857
2584.0,72000000.0
2594.0,4474678333.333333
2595.0,699000000.0
2597.0,928225555.5555556
2599.0,96243333.33333333
2600.0,297000000.0
2601.0,2499500000.0
2602.0,1091070000.0
2614.0,338013333.3333333
2617.0,356000000.0
2624.0,1494272000.0
2626.0,446457500.0
2632.0,124000000.0
2635.0,575400000.0
2639.0,80720000.0
2640.0,783088888.8888888
2643.0,427320000.0
2645.0,120333333.33333333
2648.0,1044795000.0
2659.0,153996666.66666666
2661.0,152090000.0
2664.0,282982500.0
2669.0,69080000.0
2672.0,497325000.0
2674.0,64000000.0
2675.0,224200000.0
2677.0,304445000.0
2678.0,177500000.0
2681.0,526800000.0
2684.0,245910000.0
2685.0,141645000.0
2690.0,375000000.0
2696.0,134666666.66666666
2699.0,420516666.6666667
2705.0,470000000.0
2706.0,222700000.0
2707.0,271390000.0
2709.0,376805714.28571427
2712.0,227000000.0
2713.0,232780000.0
2714.0,2609666666.6666665
2717.0,497500000.0
2727.0,399000000.0
2734.0,157330000.0
2737.0,388700000.0
2741.0,131000000.0
2742.0,173000000.0
2747.0,105483333.33333333
2749.0,190750000.0
2753.0,209220000.0
2756.0,392705000.0
2762.0,84370000.0
2766.0,173600000.0
2768.0,213000000.0
2769.0,210500000.0
2773.0,639250000.0
2781.0,160510000.0
2783.0,114000000.0
2792.0,167000000.0
2798.0,98070000.0
2812.0,631280000.0
2818.0,660430000.0
2821.0,325000000.0
2829.0,76333333.33333333
2831.0,999280000.0
2832.0,163000000.0
2833.0,240000000.0
2837.0,102520000.0
2838.0,89180000.0
2841.0,800650000.0
2851.0,146126666.66666666
2861.0,105500000.0
2864.0,48000000.0
2867.0,546140000.0
2868.0,95000000.0
2887.0,207000000.0
2891.0,82328333.33333333
2896.0,68060000.0
2905.0,212685000.0
2906.0,321087500.0
2911.0,354330000.0
2916.0,428000000.0
2917.0,68060000.0
2920.0,613133333.3333334
300002.0,512000000.0
300003.0,918257500.0
300007.0,125650000.0
300008.0,173870000.0
300009.0,279023750.0
300011.0,80626000.0
300014.0,423000000.0
300015.0,745311666.6666666
300017.0,832345000.0
300021.0,144600000.0
300024.0,495000000.0
300026.0,650000000.0
300027.0,889700000.0
300031.0,265500000.0
300033.0,907300000.0
300035.0,70290000.0
300036.0,212500000.0
300038.0,514000000.0
300041.0,118375000.0
300045.0,90690000.0
300047.0,177000000.0
300048.0,136000000.0
300050.0,179000000.0
300053.0,138550000.0
300054.0,335265000.0
300055.0,404176666.6666667
300058.0,641000000.0
300059.0,664920000.0
300061.0,302200000.0
300065.0,161302000.0
300068.0,571180000.0
300070.0,2534880000.0
300072.0,2589000000.0
300073.0,221000000.0
300075.0,175910000.0
300078.0,218434000.0
300083.0,625000000.0
300085.0,96000000.0
300089.0,133765000.0
300094.0,170000000.0
300097.0,244344166.66666666
300098.0,432737142.85714287
300099.0,78000000.0
300101.0,49240000.0
300113.0,531296000.0
300115.0,755000000.0
300121.0,205850000.0
300122.0,420313333.3333333
300123.0,121000000.0
300124.0,1079338750.0
300128.0,78840000.0
300130.0,152888333.33333334
300133.0,638587500.0
300134.0,-446000000.0
300136.0,1044125555.5555556
300137.0,145000000.0
300142.0,40500000.0
300144.0,1102851000.0
300145.0,749811818.1818181
300146.0,737000000.0
300147.0,130580000.0
300148.0,355080000.0
300158.0,359000000.0
300164.0,45000000.0
300166.0,453094000.0
300170.0,300361666.6666667
300177.0,60730000.0
300178.0,272040000.0
300182.0,1258000000.0
300187.0,217000000.0
300188.0,251236666.66666666
300190.0,219000000.0
300192.0,33786666.666666664
300196.0,214000000.0
300197.0,833834285.7142857
300199.0,359086666.6666667
300201.0,118895000.0
300203.0,550350000.0
300207.0,585250000.0
300212.0,232152857.14285713
300221.0,204000000.0
300225.0,63480000.0
300226.0,77500000.0
300228.0,113000000.0
300229.0,168000000.0
300232.0,304325000.0
300236.0,81780000.0
300237.0,683000000.0
300241.0,116540000.0
300243.0,31800000.0
300244.0,352938571.4285714
300247.0,123000000.0
300248.0,123600000.0
300249.0,80200000.0
300251.0,847028750.0
300255.0,244000000.0
300257.0,181190000.0
300258.0,259470000.0
300259.0,157436000.0
300262.0,272655000.0
300271.0,394947777.7777778
300274.0,961123333.3333334
300280.0,124000000.0
300284.0,468000000.0
300285.0,256974545.45454547
300287.0,480140000.0
300294.0,349000000.0
300296.0,1217700000.0
300297.0,505000000.0
300298.0,225000000.0
300308.0,361896000.0
