交易代码,平均预测净利润
2.0,7275546363.636364
12.0,1410901428.5714285
21.0,433005000.0
24.0,2060000000.0
26.0,96000000.0
27.0,1601000000.0
28.0,251000000.0
31.0,521170000.0
39.0,2877851428.571429
46.0,494898087.3333333
50.0,136500000.0
59.0,236500000.0
60.0,603578160.0
63.0,3064657142.857143
66.0,466000000.0
69.0,2594200000.0
88.0,453000000.0
89.0,706000000.0
99.0,149000000.0
100.0,538500000.0
153.0,51000000.0
157.0,4102956000.0
338.0,6602000000.0
400.0,203780000.0
401.0,1481000000.0
402.0,1798030000.0
407.0,288100000.0
415.0,181501000.0
417.0,313602600.0
418.0,538370000.0
419.0,117000000.0
420.0,-55000000.0
422.0,562680000.0
423.0,596000000.0
425.0,2843966666.6666665
426.0,163725350.0
428.0,168626666.66666666
430.0,2000000.0
488.0,1130500000.0
501.0,302140000.0
507.0,206050000.0
521.0,350000000.0
522.0,231600000.0
527.0,3375933333.3333335
528.0,1587890000.0
531.0,157000000.0
533.0,239000000.0
536.0,370135500.0
538.0,911000000.0
539.0,871000000.0
540.0,698136666.6666666
541.0,276150000.0
547.0,29800000.0
550.0,1762040000.0
551.0,53510000.0
559.0,527100000.0
562.0,1436000000.0
563.0,54500000.0
564.0,66900000.0
568.0,2160956666.6666665
581.0,967672857.1428572
590.0,44163333.333333336
596.0,253965000.0
598.0,252000000.0
603.0,430047462.0
616.0,485885000.0
623.0,1181000000.0
625.0,2208500000.0
627.0,75445000.0
629.0,1208171428.5714285
630.0,836112000.0
639.0,106250000.0
650.0,232333333.33333334
651.0,3928500000.0
659.0,156000000.0
661.0,116000000.0
666.0,186413333.33333334
677.0,109000000.0
683.0,104870000.0
686.0,563290000.0
688.0,285083742.0
697.0,81000000.0
698.0,237500000.0
700.0,74220000.0
708.0,544135000.0
709.0,1516500000.0
712.0,189500000.0
715.0,66147500.0
717.0,-41300000.0
718.0,900467500.0
728.0,893430000.0
755.0,28797500.0
758.0,62650000.0
