交易代码,平均预测净利润
1.0,4801801444.444445
2.0,5582600000.0
6.0,420000000.0
9.0,524400000.0
12.0,800636666.6666666
14.0,161000000.0
16.0,190020000.0
21.0,299003333.3333333
24.0,1727390000.0
27.0,2113000000.0
28.0,201350000.0
36.0,309000000.0
39.0,849500000.0
45.0,53000000.0
59.0,310666666.6666667
60.0,424880000.0
61.0,406577050.0
62.0,169000000.0
63.0,2475268750.0
66.0,301500000.0
69.0,1842000000.0
88.0,444733333.3333333
89.0,565577500.0
100.0,299006666.6666667
157.0,2237943014.285714
301.0,169000000.0
338.0,3423706060.0
400.0,151100000.0
401.0,938750000.0
402.0,1390120000.0
407.0,233000000.0
417.0,193930000.0
419.0,54980000.0
422.0,258956666.66666666
423.0,389623333.3333333
425.0,1709911666.6666667
428.0,119000000.0
429.0,397500000.0
488.0,798076666.6666666
501.0,240720000.0
506.0,251320000.0
516.0,82000000.0
521.0,250000000.0
527.0,1929100000.0
528.0,703500000.0
531.0,259000000.0
537.0,100000000.0
538.0,601740000.0
539.0,1245958571.4285715
541.0,209300000.0
550.0,1054000000.0
562.0,1190500000.0
564.0,58000000.0
568.0,1638587444.4444444
578.0,1534600000.0
581.0,369993070.3333333
582.0,40000000.0
584.0,36800000.0
594.0,15370000.0
596.0,80000000.0
598.0,203000000.0
608.0,251000000.0
612.0,225000000.0
616.0,326389600.0
617.0,69000000.0
623.0,1334000000.0
625.0,1339675714.2857144
630.0,642809150.0
635.0,103182800.0
650.0,156350000.0
651.0,2685238399.2
655.0,210305500.0
656.0,543990000.0
661.0,67900000.0
663.0,5400000.0
667.0,281100000.0
677.0,40336666.666666664
679.0,232000000.0
680.0,464050000.0
682.0,26000000.0
683.0,1174310000.0
685.0,740000000.0
686.0,896055000.0
690.0,623920000.0
707.0,20660000.0
708.0,273500000.0
709.0,760333333.3333334
712.0,165000000.0
713.0,69620000.0
715.0,81800000.0
717.0,147000000.0
718.0,1011000000.0
726.0,557784000.0
727.0,-14900000.0
728.0,943165000.0
729.0,644000000.0
755.0,-64105000.0
756.0,76500000.0
758.0,79487500.0
759.0,211477500.0
767.0,15300000.0
768.0,251600000.0
777.0,44050000.0
783.0,1248964163.75
789.0,76000000.0
792.0,1201806166.6666667
793.0,138000000.0
800.0,1308725000.0
807.0,23680000.0
816.0,248170000.0
822.0,-689536666.6666666
823.0,115900000.0
825.0,428183333.3333333
826.0,150500000.0
828.0,349560000.0
829.0,217000000.0
830.0,187305000.0
837.0,91649257.14285715
839.0,838000000.0
848.0,116109742.33333333
851.0,19592800.0
858.0,3015999071.428571
859.0,-100000000.0
860.0,204645000.0
861.0,164509200.0
869.0,1085232500.0
876.0,322000000.0
877.0,325000000.0
878.0,276470000.0
880.0,156500000.0
887.0,213327500.0
888.0,74000000.0
893.0,64380000.0
895.0,916500000.0
898.0,1275150000.0
903.0,124462800.0
910.0,213000000.0
911.0,149650000.0
917.0,54286666.666666664
918.0,1051000000.0
926.0,370137500.0
927.0,206683333.33333334
930.0,300925000.0
932.0,36270000.0
933.0,652126000.0
937.0,1924115050.0
939.0,91340000.0
949.0,113980000.0
951.0,437000000.0
959.0,480000000.0
960.0,226855000.0
963.0,257235000.0
965.0,130400000.0
968.0,391000000.0
969.0,174200000.0
978.0,39510000.0
983.0,2705350783.3333335
987.0,290339000.0
989.0,149000000.0
990.0,28535000.0
999.0,672805000.0
1696.0,407000000.0
1872.0,447000000.0
2001.0,1106400000.0
2002.0,112000000.0
2004.0,124080000.0
2005.0,70000000.0
2006.0,25100000.0
2007.0,474666666.6666667
2008.0,73810000.0
2010.0,135000000.0
2012.0,48550000.0
2014.0,87700000.0
2017.0,50340000.0
2018.0,75631550.0
2019.0,42673512.0
2022.0,205295000.0
2023.0,54000000.0
2024.0,2794616687.5
2025.0,120000000.0
2028.0,760446666.6666666
2029.0,198580000.0
2033.0,44000000.0
2035.0,31733333.333333332
2037.0,80000000.0
2038.0,264940000.0
2039.0,-33300000.0
2041.0,91786666.66666667
2042.0,168310000.0
2045.0,111580000.0
2047.0,86010000.0
2050.0,225777925.0
2054.0,157553333.33333334
2055.0,29880000.0
2056.0,173670000.0
2062.0,305000000.0
2063.0,107365000.0
2064.0,120187500.0
2065.0,251972857.14285713
2066.0,43000000.0
2067.0,28900000.0
2068.0,80390000.0
2069.0,164822825.0
2070.0,59000000.0
2073.0,309673333.3333333
2078.0,470321666.6666667
2082.0,104096250.0
2084.0,11380000.0
2086.0,52730000.0
2088.0,147350000.0
2091.0,145000000.0
2093.0,100149950.0
2094.0,21450000.0
2095.0,40140000.0
2097.0,105000000.0
2100.0,85470000.0
2106.0,177520000.0
2109.0,91600000.0
2110.0,69000000.0
2111.0,56710000.0
2115.0,78772780.0
2121.0,87340000.0
2122.0,543500000.0
2123.0,193103333.33333334
2124.0,50690000.0
2126.0,46700000.0
2131.0,111690000.0
2133.0,162120000.0
2140.0,119505000.0
2142.0,1459265995.0714285
2146.0,590123333.3333334
2148.0,40000000.0
2149.0,30000000.0
2152.0,406845000.0
2153.0,166015000.0
2154.0,189361460.5
2155.0,129445000.0
2156.0,51365000.0
2157.0,62400000.0
2158.0,75581750.0
2159.0,19800000.0
2161.0,72800000.0
2165.0,111250000.0
2169.0,37000000.0
2170.0,18963333.333333332
2172.0,77940000.0
2177.0,100763800.0
2182.0,29160000.0
2185.0,76000000.0
2187.0,168564300.0
2192.0,25900000.0
2193.0,50965000.0
2200.0,120000000.0
2202.0,1350610000.0
2203.0,186460000.0
2204.0,153000000.0
2208.0,105530000.0
2209.0,49000000.0
2211.0,43900000.0
2212.0,134200000.0
2214.0,48510000.0
2215.0,131846666.66666667
2217.0,61760000.0
2220.0,64000000.0
2221.0,39000000.0
2223.0,111000000.0
2225.0,120000000.0
2233.0,225987066.66666666
2234.0,-27000000.0
2237.0,79900000.0
2238.0,83762500.0
2239.0,33740000.0
2240.0,12890000.0
2241.0,99880000.0
2242.0,681000000.0
2244.0,724383333.3333334
2248.0,112500000.0
2249.0,218000000.0
2250.0,137300000.0
2251.0,174900000.0
2252.0,122760000.0
2253.0,36000000.0
2254.0,98910000.0
2255.0,112500000.0
2261.0,90830000.0
2262.0,61000000.0
2264.0,69130000.0
2266.0,138653333.33333334
2269.0,566622000.0
2270.0,64030000.0
2271.0,71700000.0
2272.0,63550000.0
2273.0,57062000.0
2274.0,-103250000.0
2277.0,146400000.0
2279.0,57800000.0
2281.0,105250000.0
