预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20121122,20121231,000513,458000000.0,国泰君安,李秋实
20121125,20121231,000513,454000000.0,齐鲁证券,胡德军
20121224,20121231,000513,449000000.0,长城证券,姚雯琦
20121129,20121231,000521,159000000.0,华泰证券,张洪道
20121214,20121231,000525,265000000.0,航天证券,何筱微
20121214,20121231,000525,294870000.0,中信建投,梁斌
20121224,20121231,000527,3987000000.0,长城证券,朱政
20121101,20121231,000538,1503000000.0,中金公司,孙亮
20121105,20121231,000538,1577000000.0,招商证券,李珊珊
20121108,20121231,000538,1577000000.0,国信证券,胡博新
20121113,20121231,000538,1569000000.0,东方证券,李淑花
20121127,20121231,000538,1575000000.0,申银万国,罗鶄
20121206,20121231,000538,1503000000.0,财富里昂,周恩旭
20121102,20121231,000539,1784440000.0,大同证券,蔡文彬
20121102,20121231,000539,902000000.0,东北证券,王师
20121227,20121231,000539,808000000.0,国信证券,谢达成
20121121,20121231,000543,359380000.0,大同证券,蔡文彬
20121204,20121231,000543,326000000.0,渤海证券,任宪功
20121212,20121231,000543,313000000.0,民族证券,李晶
20121205,20121231,000550,1594000000.0,东北证券,刘立喜
20121207,20121231,000550,1518000000.0,瑞银证券,陈实
20121127,20121231,000568,4509000000.0,平安证券,文献
20121221,20121231,000568,4540000000.0,招商证券,董广阳
20121109,20121231,000572,66360000.0,信达证券,邢海芝
20121102,20121231,000581,902000000.0,平安证券,王德安
20121126,20121231,000581,830000000.0,中信证券,李春波
20121128,20121231,000581,1042000000.0,国都证券,肖世俊
20121205,20121231,000581,842000000.0,中银国际,胡文洲
20121220,20121231,000582,544000000.0,国海证券,范曾
20121217,20121231,000587,175000000.0,国海证券,李会坤
20121203,20121231,000590,191000000.0,华泰证券,彭海柱
20121226,20121231,000596,859500000.0,安信证券,徐昊
20121119,20121231,000598,712300000.0,长江证券,邓莹
20121120,20121231,000598,735000000.0,中信证券,王海旭
20121120,20121231,000598,695000000.0,国信证券,谢达成
20121226,20121231,000600,118600000.0,安信证券,张龙
20121120,20121231,000612,42600000.0,长江证券,葛军
20121210,20121231,000612,41000000.0,中投证券,杨国萍
20121107,20121231,000625,953000000.0,齐鲁证券,白宇
20121112,20121231,000625,1213000000.0,东方证券,姜雪晴
20121129,20121231,000625,1034650000.0,光大证券,奉玮
20121129,20121231,000625,1040500000.0,信达证券,邢海芝
20121203,20121231,000625,910000000.0,齐鲁证券,白宇
20121204,20121231,000625,1039000000.0,瑞银证券,邹天龙
20121212,20121231,000625,1222900000.0,东兴证券,苏杨
20121212,20121231,000625,1212000000.0,中信证券,李春波
20121219,20121231,000625,1078420000.0,光大证券,奉玮
20121220,20121231,000625,1072000000.0,中信证券,李春波
20121220,20121231,000625,1052000000.0,招商证券,汪刘胜
20121220,20121231,000625,953000000.0,齐鲁证券,白宇
20121225,20121231,000625,1220000000.0,群益证券,韩伟琪
20121228,20121231,000625,1096000000.0,兴业证券,聂清廉
20121101,20121231,000629,1111240000.0,第一创业,张文丰
20121219,20121231,000629,967000000.0,招商证券,张士宝
