预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20181117,20181231,000001,23834000000.0,国泰君安,邱冠华
20181227,20181231,000001,24900000000.0,天风证券,廖志明
20181101,20181231,000002,35041000000.0,东北证券,高建
20181101,20181231,000002,34957770000.0,天风证券,陈天诚
20181104,20181231,000002,36514000000.0,华创证券,袁豪
20181104,20181231,000002,36172000000.0,东吴证券,齐东
20181104,20181231,000002,35293000000.0,华泰证券,贾亚童
20181105,20181231,000002,34597900000.0,安信证券,黄守宏
20181105,20181231,000002,35316430000.0,西南证券,胡华如
20181106,20181231,000002,32461000000.0,中邮证券,程毅敏
20181204,20181231,000002,36172000000.0,东吴证券,齐东
20181205,20181231,000002,32461000000.0,中邮证券,程毅敏
20181205,20181231,000002,37497000000.0,东方证券,竺劲
20181205,20181231,000002,36514000000.0,华创证券,袁豪
20181205,20181231,000002,35293000000.0,华泰证券,贾亚童
20181205,20181231,000002,35316430000.0,西南证券,胡华如
20181206,20181231,000002,36366000000.0,兴业证券,阎常铭
20181206,20181231,000002,36677000000.0,民生证券,杨柳
20181217,20181231,000002,34541000000.0,群益证券,沈嘉婕
20181219,20181231,000002,33428000000.0,光大证券,何缅南
20181114,20181231,000026,169000000.0,申万宏源,周海晨
20181228,20181231,000027,846000000.0,申万宏源,刘晓宁
20181101,20181231,000028,1184000000.0,上海证券,金鑫
20181224,20181231,000028,1201000000.0,中金公司,朱言音
20181116,20181231,000031,1193000000.0,华泰证券,贾亚童
20181205,20181231,000031,1600000000.0,国泰君安,谢皓宇
20181205,20181231,000031,1193000000.0,华泰证券,贾亚童
20181109,20181231,000034,467640000.0,中信证券,顾海波
20181218,20181231,000034,468000000.0,中信证券,顾海波
20181222,20181231,000034,532000000.0,招商证券,刘泽晶
20181224,20181231,000034,468000000.0,中信证券,顾海波
20181210,20181231,000035,307060000.0,天风证券,于夕朦
20181116,20181231,000039,2404070000.0,国联证券,马松
20181224,20181231,000050,1684000000.0,中金公司,黄乐平
20181225,20181231,000060,1226000000.0,招商证券,刘文平
20181126,20181231,000062,693000000.0,东吴证券,谢恒
20181101,20181231,000063,-6864000000.0,中金公司,黄乐平
20181102,20181231,000063,-6442000000.0,国信证券,程成
20181104,20181231,000063,-6313000000.0,国盛证券,丁琼
20181109,20181231,000063,-6329900000.0,中信证券,顾海波
20181205,20181231,000063,-6379000000.0,招商证券,余俊
20181104,20181231,000065,621000000.0,国泰君安,韩其成
20181101,20181231,000069,9845000000.0,广发证券,乐加栋
20181209,20181231,000100,3756730000.0,方正证券,兰飞
20181210,20181231,000100,3417000000.0,中金公司,何伟
20181211,20181231,000100,3300000000.0,天风证券,潘暕
20181211,20181231,000100,3639000000.0,光大证券,杨明辉
20181213,20181231,000100,3798230000.0,西南证券,刘言
20181216,20181231,000100,3079000000.0,广发证券,曾婵
20181217,20181231,000100,3780000000.0,中信建投,陈伟奇
20181108,20181231,000157,1750000000.0,广发证券,罗立波
20181102,20181231,000301,2045670000.0,中信建投,邓胜
20181108,20181231,000301,1223000000.0,中信证券,黄莉莉
20181128,20181231,000301,1218000000.0,长江证券,马太
20181229,20181231,000301,958000000.0,招商证券,王强
20181101,20181231,000333,21435000000.0,兴业证券,王家远
20181101,20181231,000333,21294000000.0,银河国际,Jeff Dorr
20181101,20181231,000333,20191000000.0,Macquarie,Terence Chang
20181101,20181231,000333,20470000000.0,群益证券,王睿哲
20181101,20181231,000333,20407000000.0,财通证券,洪吉然
20181101,20181231,000333,20591000000.0,西部证券,雒雅梅
20181102,20181231,000333,20759880000.0,海通证券,陈子仪
20181105,20181231,000333,20360000000.0,中信建投,陈伟奇
20181122,20181231,000333,20258000000.0,光大证券,金星
20181122,20181231,000333,20482000000.0,民生证券,马科
20181128,20181231,000333,21294000000.0,银河国际,Jeff Dorr
20181129,20181231,000333,20012000000.0,Morgan Stanley,Lillian Lou
20181130,20181231,000333,20612000000.0,银河证券,李昂
20181203,20181231,000333,20427000000.0,爱建证券,张志鹏
20181222,20181231,000333,20400000000.0,广发证券,曾婵
20181226,20181231,000333,20446830000.0,西南证券,龚梦泓
20181101,20181231,000338,7877710000.0,国联证券,马松
20181101,20181231,000338,7351000000.0,国信证券,梁超
20181102,20181231,000338,8027000000.0,中信证券,陈俊斌
20181108,20181231,000338,7813000000.0,平安证券,王德安
20181127,20181231,000400,376000000.0,中信证券,弓永峰
20181206,20181231,000400,311820000.0,海通证券,房青
20181120,20181231,000401,1610000000.0,国泰君安,鲍雁辛
20181129,20181231,000401,1569000000.0,国盛证券,黄诗涛
20181213,20181231,000401,1927720000.0,天风证券,盛昌盛
20181101,20181231,000402,3430000000.0,中金公司,张宇
20181226,20181231,000403,115000000.0,中银国际,邓周宇
20181220,20181231,000408,1411000000.0,民生证券,陶贻功
20181101,20181231,000418,1732220000.0,天风证券,蔡雯娟
20181101,20181231,000418,1897270000.0,海通证券,陈子仪
20181122,20181231,000418,1897270000.0,海通证券,陈子仪
20181120,20181231,000423,2027000000.0,中金公司,屠炜颖
20181221,20181231,000423,2027000000.0,中金公司,屠炜颖
20181221,20181231,000423,2049790000.0,西南证券,朱国广
20181101,20181231,000425,1846980000.0,海通证券,佘炜超
20181230,20181231,000426,779000000.0,招商证券,刘文平
20181108,20181231,000429,1473000000.0,中金公司,杨鑫
20181115,20181231,000513,1115000000.0,中金公司,朱言音
20181120,20181231,000513,1153000000.0,太平洋证券,杜佐远
20181123,20181231,000513,1173000000.0,Macquarie,David Ng
20181205,20181231,000513,1123000000.0,国信证券,谢长雁
20181228,20181231,000513,931000000.0,东莞证券,卢立亭
20181114,20181231,000516,2267000000.0,兴业证券,徐佳熹
20181221,20181231,000524,307000000.0,国泰君安,刘越男
20181217,20181231,000525,998000000.0,中信证券,王喆
20181226,20181231,000525,998000000.0,中信证券,王喆
20181101,20181231,000528,966100000.0,长城证券,曲小溪
20181102,20181231,000538,3391000000.0,东方证券,施红梅
20181102,20181231,000538,3303880000.0,西南证券,朱国广
20181102,20181231,000538,3390900000.0,中信建投,贺菊颖
20181105,20181231,000538,3363000000.0,中信证券,田加强
20181105,20181231,000538,3303000000.0,光大证券,林小伟
20181123,20181231,000538,3249000000.0,招商证券,吴斌
20181123,20181231,000538,3382550000.0,天风证券,潘海洋
20181125,20181231,000538,3331000000.0,广发证券,吴文华
20181130,20181231,000538,3448000000.0,申万宏源,闫天一
20181227,20181231,000538,3306000000.0,东兴证券,杨若木
20181101,20181231,000539,1216000000.0,中信证券,高超
20181127,20181231,000539,1026520000.0,天风证券,于夕朦
20181207,20181231,000539,1002000000.0,申万宏源,刘晓宁
20181115,20181231,000543,398000000.0,申万宏源,刘晓宁
20181127,20181231,000543,398000000.0,申万宏源,刘晓宁
20181130,20181231,000544,350000000.0,国海证券,谭倩
20181227,20181231,000544,1228000000.0,国海证券,谭倩
20181221,20181231,000546,480000000.0,长江证券,凌润东
20181108,20181231,000547,364000000.0,国泰君安,彭磊
20181115,20181231,000547,525000000.0,安信证券,冯福章
20181210,20181231,000550,104000000.0,中金公司,奉玮
20181105,20181231,000553,3141000000.0,光大证券,裘孝锋
20181207,20181231,000560,708000000.0,东北证券,高建
20181219,20181231,000560,644000000.0,东兴证券,郑闵钢
20181122,20181231,000568,3382000000.0,中金公司,陈文凯
20181212,20181231,000568,3405000000.0,东方证券,肖婵
20181220,20181231,000568,3194000000.0,国开证券,黄婧
20181221,20181231,000568,3345000000.0,招商证券,杨勇胜
20181222,20181231,000568,3384770000.0,川财证券,欧阳宇剑
20181223,20181231,000568,3500200000.0,安信证券,苏铖
20181223,20181231,000568,3405000000.0,东方证券,肖婵
20181223,20181231,000568,3379000000.0,华创证券,方振
20181224,20181231,000568,3455000000.0,申万宏源,吕昌
20181226,20181231,000568,3383300000.0,方正证券,薛玉虎
20181116,20181231,000581,2799480000.0,信达证券,范海波
20181102,20181231,000584,136300000.0,安信证券,李哲
20181101,20181231,000591,1094000000.0,国信证券,方重寅
20181113,20181231,000596,1639000000.0,国海证券,余春生
20181121,20181231,000596,1596000000.0,华泰证券,贺琪
20181122,20181231,000596,1653000000.0,中金公司,陈文凯
