交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
1,东北证券,高建,2017-08-22,20180222.0,买入,增持,调高,评级变动方向
1,中信建投,杨荣,2017-10-23,20180423.0,买入,,调高,评级变动方向
2,东方证券,竺劲,2017-03-27,20180327.0,买入,,调高,评级变动方向
2,海通证券,涂力磊,2017-06-25,20171225.0,买入,,调高,评级变动方向
2,中信证券,陈聪,2017-07-05,20180105.0,买入,,调高,评级变动方向
2,群益证券,姜以宁,2017-10-27,20180427.0,买入,中性,调高,评级变动方向
8,华泰证券,章诚,2017-08-20,20180220.0,买入,,调高,评级变动方向
8,太平洋证券,刘国清,2017-09-19,20180319.0,买入,,调高,评级变动方向
18,东北证券,刘立喜,2017-08-14,20180214.0,买入,增持,调高,评级变动方向
28,群益证券,王睿哲,2017-04-20,20171020.0,买入,中性,调高,评级变动方向
39,海通证券,佘炜超,2017-03-28,20170928.0,买入,,调高,评级变动方向
49,天风证券,农冰立,2017-03-13,20170913.0,买入,,调高,评级变动方向
50,国海证券,王凌涛,2017-04-04,20171004.0,买入,,调高,评级变动方向
60,广发证券,巨国贤,2017-01-13,20180113.0,买入,谨慎增持,调高,评级变动方向
60,天风证券,杨诚笑,2017-05-22,20171122.0,买入,,调高,评级变动方向
63,申万宏源,顾海波,2017-03-17,20170917.0,买入,增持,调高,评级变动方向
63,国信证券,程成,2017-04-25,20171025.0,买入,,调高,评级变动方向
63,天风证券,唐海清,2017-06-18,20171218.0,买入,,调高,评级变动方向
63,东吴证券,徐力,2017-07-20,20180120.0,买入,,调高,评级变动方向
89,海通证券,虞楠,2017-03-31,20170930.0,买入,,调高,评级变动方向
100,山西证券,石晋,2017-10-26,20180426.0,买入,,调高,评级变动方向
338,瑞银证券,邹天龙,2017-01-25,20180125.0,买入,中性,调高,评级变动方向
338,东北证券,刘军,2017-07-12,20180112.0,买入,增持,调高,评级变动方向
338,浙商证券,杨云,2017-10-30,20180430.0,买入,增持,调高,评级变动方向
400,中银国际,沈成,2017-08-25,20180825.0,买入,谨慎买入,调高,评级变动方向
401,中信建投,王愫,2017-01-18,20170718.0,买入,,调高,评级变动方向
401,申万宏源,孟烨勇,2017-03-10,20170910.0,买入,增持,调高,评级变动方向
417,广发证券,洪涛,2017-03-30,20180330.0,买入,谨慎增持,调高,评级变动方向
417,东北证券,李强,2017-12-04,20180604.0,买入,增持,调高,评级变动方向
418,中信建投,林寰宇,2017-03-10,20170910.0,买入,,调高,评级变动方向
418,广发证券,曾婵,2017-08-07,20180807.0,买入,谨慎增持,调高,评级变动方向
418,东北证券,唐凯,2017-12-18,20180618.0,买入,增持,调高,评级变动方向
425,华金证券,张仲杰,2017-03-13,20170913.0,买入,,调高,评级变动方向
425,国海证券,冯胜,2017-08-07,20180207.0,买入,,调高,评级变动方向
426,信达证券,范海波,2017-04-14,20171014.0,买入,增持,调高,评级变动方向
498,海通证券,杜市伟,2017-07-12,20180112.0,买入,,调高,评级变动方向
505,海通证券,闻宏伟,2017-11-05,20180505.0,买入,,调高,评级变动方向
507,安信证券,张龙,2017-04-15,20171015.0,买入,,调高,评级变动方向
525,海通证券,刘威,2017-03-28,20170928.0,买入,,调高,评级变动方向
