交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
1,瑞银证券,甘宗卫,2014-03-11,20150311.0,买入,中性,调高,评级变动方向
12,群益证券,王睿哲,2014-04-11,20141011.0,买入,中性,调高,评级变动方向
24,安信证券,万知,2014-05-07,20141107.0,买入,,调高,评级变动方向
39,Jefferies,Leon Liao,2014-08-26,20150826.0,买入,持有,调高,评级变动方向
55,申银万国,孔凌飞,2014-08-14,20150214.0,买入,,调高,评级变动方向
63,国金证券,张帅,2014-08-21,20150821.0,买入,增持,调高,评级变动方向
100,宏源证券,蒋毅,2014-02-25,20140825.0,买入,,调高,评级变动方向
156,齐鲁证券,陈运红,2014-04-09,20150409.0,买入,增持,调高,评级变动方向
333,山西证券,曹玲燕,2014-09-09,20150309.0,买入,,调高,评级变动方向
338,中信建投,陈政,2014-03-31,20140930.0,买入,,调高,评级变动方向
401,海通证券,邱友锋,2014-12-23,20150623.0,买入,,调高,评级变动方向
402,中银国际,田世欣,2014-03-21,20150321.0,买入,谨慎买入,调高,评级变动方向
413,联讯证券,丁思德,2014-06-27,20141227.0,买入,增持,调高,评级变动方向
413,联讯证券,丁思德,2014-09-01,20150301.0,买入,增持,调高,评级变动方向
418,兴业证券,姚永华,2014-04-21,20150421.0,买入,,调高,评级变动方向
418,海通证券,陈子仪,2014-08-07,20150207.0,买入,,调高,评级变动方向
418,山西证券,曹玲燕,2014-10-14,20150414.0,买入,,调高,评级变动方向
422,群益证券,高观朋,2014-08-13,20150213.0,买入,中性,调高,评级变动方向
423,东方证券,田加强,2014-08-18,20150818.0,买入,,调高,评级变动方向
430,中银国际,旷实,2014-03-05,20150305.0,买入,谨慎买入,调高,评级变动方向
430,西南证券,潘红敏,2014-09-30,20150331.0,买入,,调高,评级变动方向
516,中信建投,陈烨远,2014-03-28,20140928.0,买入,,调高,评级变动方向
516,中信建投,陈烨远,2014-04-16,20141016.0,买入,,调高,评级变动方向
525,中信建投,罗婷,2014-04-15,20141015.0,买入,,调高,评级变动方向
525,群益证券,高观朋,2014-12-01,20150601.0,买入,,调高,评级变动方向
547,国金证券,周明巍,2014-09-25,20150925.0,买入,增持,调高,评级变动方向
550,湘财证券,栾钊,2014-01-24,20150124.0,买入,,调高,评级变动方向
550,中信证券,许英博,2014-03-03,20140903.0,买入,,调高,评级变动方向
550,瑞银证券,陈实,2014-04-02,20150402.0,买入,中性,调高,评级变动方向
550,安信证券,林帆,2014-12-16,20150616.0,买入,,调高,评级变动方向
562,中信建投,魏涛,2014-07-28,20150128.0,买入,,调高,评级变动方向
568,申银万国,邓敬东,2014-07-30,20150130.0,买入,,调高,评级变动方向
568,瑞银证券,赵琳,2014-08-20,20150820.0,买入,中性,调高,评级变动方向
596,申银万国,邓敬东,2014-06-06,20141206.0,买入,,调高,评级变动方向
596,瑞银证券,赵琳,2014-08-20,20150820.0,买入,中性,调高,评级变动方向
612,瑞银证券,林浩祥,2014-01-03,20150103.0,买入,中性,调高,评级变动方向
625,广发证券,张乐,2014-07-08,20150708.0,买入,持有,调高,评级变动方向
651,宏源证券,蒋毅,2014-04-29,20141029.0,买入,,调高,评级变动方向
656,申银万国,韩思怡,2014-10-15,20150415.0,买入,,调高,评级变动方向
657,西南证券,兰可,2014-10-29,20150429.0,买入,,调高,评级变动方向
671,安信证券,万知,2014-03-14,20140914.0,买入,,调高,评级变动方向
681,中信建投,陈开伟,2014-08-28,20150228.0,买入,,调高,评级变动方向
688,广发证券,巨国贤,2014-09-12,20150912.0,买入,谨慎增持,调高,评级变动方向
700,中信建投,陈烨远,2014-03-17,20140917.0,买入,,调高,评级变动方向
716,国海证券,崔励,2014-03-11,20140911.0,买入,,调高,评级变动方向
716,安信证券,苏青青,2014-10-14,20150414.0,买入,,调高,评级变动方向
728,宏源证券,孙羽薇,2014-04-20,20141020.0,买入,,调高,评级变动方向
728,安信证券,贺立,2014-06-03,20141203.0,买入,,调高,评级变动方向
729,群益证券,李晓璐,2014-08-12,20150212.0,买入,中性,调高,评级变动方向
732,太平洋证券,周炯,2014-09-05,20150305.0,买入,,调高,评级变动方向
732,太平洋证券,周炯,2014-12-18,20150618.0,买入,,调高,评级变动方向
768,山西证券,刘小勇,2014-06-19,20141219.0,买入,,调高,评级变动方向
800,山西证券,刘小勇,2014-03-10,20140910.0,买入,,调高,评级变动方向
811,中银国际,许民乐,2014-01-28,20150128.0,买入,,调高,评级变动方向
826,海通证券,陆凤鸣,2014-03-25,20140925.0,买入,,调高,评级变动方向
826,海通证券,张浩,2014-08-21,20150221.0,买入,,调高,评级变动方向
826,瑞银证券,徐颖真,2014-09-02,20150305.0,买入,中性,调高,评级变动方向
848,中信证券,黄巍,2014-04-28,20141028.0,买入,,调高,评级变动方向
858,光大证券,邢庭志,2014-03-12,20150312.0,买入,增持,调高,评级变动方向
858,中信建投,黄付生,2014-04-28,20141028.0,买入,,调高,评级变动方向
858,瑞银证券,赵琳,2014-08-20,20150820.0,买入,卖出,调高,评级变动方向
861,广发证券,欧亚菲,2014-09-09,20150909.0,买入,谨慎增持,调高,评级变动方向
882,信达证券,赵雅君,2014-02-26,20140826.0,买入,增持,调高,评级变动方向
898,瑞银证券,孙旭,2014-02-28,20150228.0,买入,中性,调高,评级变动方向
933,海通证券,朱洪波,2014-10-24,20150424.0,买入,,调高,评级变动方向
939,申银万国,孟烨勇,2014-11-26,20150526.0,买入,,调高,评级变动方向
960,申银万国,叶培培,2014-08-05,20150205.0,买入,,调高,评级变动方向
963,国金证券,燕智,2014-03-21,20150321.0,买入,,调高,评级变动方向
963,中信证券,吴斌,2014-06-24,20141224.0,买入,增持,调高,评级变动方向
966,申银万国,刘晓宁,2014-06-10,20141210.0,买入,,调高,评级变动方向
970,瑞银证券,林浩祥,2014-01-21,20150121.0,买入,中性,调高,评级变动方向
970,宏源证券,闵丹,2014-02-25,20140825.0,买入,,调高,评级变动方向
975,海通证券,钟奇,2014-07-07,20150107.0,买入,,调高,评级变动方向
977,广发证券,刘雪峰,2014-04-28,20150428.0,买入,谨慎增持,调高,评级变动方向
983,高华证券,高华证券,2014-11-05,20151105.0,买入,中性,调高,评级变动方向
987,中银国际,唐佳睿,2014-12-09,20151209.0,买入,持有,调高,评级变动方向
997,宏源证券,易欢欢,2014-09-19,20150319.0,买入,,调高,评级变动方向
998,兴业证券,蒋小东,2014-09-29,20150929.0,买入,,调高,评级变动方向
999,世纪证券,邓聪,2014-09-10,20150910.0,买入,,调高,评级变动方向
1872,瑞银证券,饶呈方,2014-06-23,20150623.0,买入,中性,调高,评级变动方向
2003,广发证券,林海,2014-03-23,20150323.0,买入,持有,调高,评级变动方向
2008,华泰证券,周毅,2014-06-23,20141223.0,买入,,调高,评级变动方向
2023,中信证券,苏宝亮,2014-07-14,20150114.0,买入,,调高,评级变动方向
2028,华泰证券,郑丹丹,2014-03-24,20140924.0,买入,,调高,评级变动方向
2035,海通证券,陈子仪,2014-03-07,20140907.0,买入,,调高,评级变动方向
2035,中信证券,胡雅丽,2014-10-09,20150409.0,买入,,调高,评级变动方向
2037,中银国际,苏文杰,2014-08-14,20150814.0,买入,谨慎买入,调高,评级变动方向
2041,东北证券,郭伟明,2014-04-23,20141023.0,买入,中性,调高,评级变动方向
2041,民族证券,刘晓峰,2014-10-30,20150430.0,买入,,调高,评级变动方向
2042,海通证券,焦娟,2014-09-30,20150331.0,买入,,调高,评级变动方向
2047,国金证券,孙鹏,2014-12-09,20151209.0,买入,增持,调高,评级变动方向
2049,山西证券,张旭,2014-04-04,20141004.0,买入,,调高,评级变动方向
2051,申银万国,陆玲玲,2014-08-05,20150205.0,买入,,调高,评级变动方向
2052,华泰证券,周毅,2014-05-09,20141109.0,买入,,调高,评级变动方向
2053,西南证券,商艾华,2014-09-12,20150312.0,买入,,调高,评级变动方向
2055,群益证券,朱吉翔,2014-07-30,20150130.0,买入,,调高,评级变动方向
2063,申银万国,龚浩,2014-12-18,20150618.0,买入,,调高,评级变动方向
2065,华泰证券,马仁敏,2014-11-18,20150518.0,买入,,调高,评级变动方向
2069,齐鲁证券,谢刚,2014-05-22,20150522.0,买入,增持,调高,评级变动方向
2069,中信证券,施亮,2014-06-24,20141224.0,买入,,调高,评级变动方向
2070,广发证券,巨国贤,2014-08-19,20150819.0,买入,持有,调高,评级变动方向
2073,广发证券,刘雪峰,2014-03-21,20150321.0,买入,持有,调高,评级变动方向
2073,光大证券,姜国平,2014-10-29,20151029.0,买入,增持,调高,评级变动方向
2081,中信建投,郑军,2014-08-27,20150227.0,买入,,调高,评级变动方向
2090,宏源证券,王静,2014-01-24,20140724.0,买入,,调高,评级变动方向
2098,海通证券,焦娟,2014-12-09,20150609.0,买入,,调高,评级变动方向
2099,华泰证券,纪石,2014-05-29,20141129.0,买入,,调高,评级变动方向
2100,申银万国,宫衍海,2014-08-24,20150224.0,买入,,调高,评级变动方向
2104,华泰证券,康志毅,2014-04-29,20141029.0,买入,,调高,评级变动方向
2115,华泰证券,孔晓明,2014-10-30,20150430.0,买入,,调高,评级变动方向
2124,东北证券,郭伟明,2014-07-16,20150116.0,买入,增持,调高,评级变动方向
2124,广发证券,王乾,2014-11-20,20151120.0,买入,谨慎增持,调高,评级变动方向
2126,申银万国,常璐,2014-01-21,20140721.0,买入,,调高,评级变动方向
2126,国金证券,吴文钊,2014-02-11,20150211.0,买入,,调高,评级变动方向
