交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
1,安信证券,赵湘怀,2016-08-12,20170212.0,买入,,调高,评级变动方向
21,华金证券,谭志勇,2016-11-18,20170518.0,买入,,调高,评级变动方向
28,申万宏源,罗佳荣,2016-03-28,20160928.0,买入,增持,调高,评级变动方向
28,中信证券,田加强,2016-12-29,20170629.0,买入,,调高,评级变动方向
35,国海证券,谭倩,2016-05-24,20161124.0,买入,,调高,评级变动方向
35,国海证券,谭倩,2016-06-27,20161227.0,买入,,调高,评级变动方向
35,国海证券,谭倩,2016-08-22,20170222.0,买入,,调高,评级变动方向
55,长江证券,范超,2016-09-27,20170927.0,买入,,调高,评级变动方向
59,中信建投,罗婷,2016-03-28,20160928.0,买入,,调高,评级变动方向
65,安信证券,夏天,2016-04-25,20161025.0,买入,,调高,评级变动方向
65,安信证券,夏天,2016-09-13,20170313.0,买入,,调高,评级变动方向
66,东吴证券,郝彪,2016-06-15,20161215.0,买入,,调高,评级变动方向
89,东北证券,瞿永忠,2016-07-05,20170105.0,买入,增持,调高,评级变动方向
89,广发证券,商田,2016-12-06,20171206.0,买入,谨慎增持,调高,评级变动方向
100,山西证券,石晋,2016-03-31,20160930.0,买入,,调高,评级变动方向
158,长江证券,马先文,2016-04-15,20170415.0,买入,,调高,评级变动方向
338,兴业证券,王冠桥,2016-03-14,20170314.0,买入,,调高,评级变动方向
400,中信证券,王海旭,2016-03-31,20160930.0,买入,,调高,评级变动方向
400,元大证券(香港),苏育慧,2016-04-07,20170407.0,买入,持有,调高,评级变动方向
400,东北证券,龚斯闻,2016-05-04,20161104.0,买入,增持,调高,评级变动方向
402,中信证券,陈聪,2016-05-16,20161116.0,买入,,调高,评级变动方向
402,中银国际,卢骁峰,2016-08-18,20170818.0,买入,谨慎买入,调高,评级变动方向
415,中信建投,杨荣,2016-11-11,20170511.0,买入,,调高,评级变动方向
418,华泰证券,张立聪,2016-08-10,20170210.0,买入,,调高,评级变动方向
423,西南证券,朱国广,2016-07-11,20170111.0,买入,,调高,评级变动方向
426,海通证券,施毅,2016-06-15,20161215.0,买入,,调高,评级变动方向
429,广发证券,商田,2016-08-09,20170809.0,买入,持有,调高,评级变动方向
430,国信证券,曾光,2016-03-14,20160914.0,买入,,调高,评级变动方向
513,东吴证券,洪阳,2016-10-26,20170426.0,买入,,调高,评级变动方向
561,中信建投,武超则,2016-08-29,20170228.0,买入,,调高,评级变动方向
568,国海证券,余春生,2016-01-08,20160708.0,买入,,调高,评级变动方向
568,东北证券,李强,2016-06-17,20161217.0,买入,增持,调高,评级变动方向
581,高华证券,丁妤倩,2016-08-03,20170803.0,买入,中性,调高,评级变动方向
593,安信证券,邵琳琳,2016-03-09,20160909.0,买入,,调高,评级变动方向
607,海通证券,钟奇,2016-05-17,20161117.0,买入,,调高,评级变动方向
608,长江证券,蒲东君,2016-03-03,20170303.0,买入,,调高,评级变动方向
610,海通证券,钟奇,2016-08-21,20170221.0,买入,,调高,评级变动方向
619,光大证券,陈浩武,2016-05-23,20170523.0,买入,增持,调高,评级变动方向
630,中信建投,陈炳辉,2016-12-08,20170608.0,买入,,调高,评级变动方向
639,国海证券,余春生,2016-01-18,20160718.0,买入,,调高,评级变动方向
650,华泰证券,杨烨辉,2016-04-11,20161011.0,买入,,调高,评级变动方向
651,国金证券,魏立,2016-08-19,20170819.0,买入,增持,调高,评级变动方向
651,Deutsche Bank,Richard Huang,2016-09-02,20170902.0,买入,持有,调高,评级变动方向
651,中信建投,林寰宇,2016-10-31,20170430.0,买入,,调高,评级变动方向
651,东北证券,李强,2016-12-01,20170601.0,买入,增持,调高,评级变动方向
661,申万宏源,杜舟,2016-11-01,20170501.0,买入,,调高,评级变动方向
673,海通证券,钟奇,2016-09-08,20170308.0,买入,,调高,评级变动方向
705,西南证券,朱国广,2016-07-19,20170119.0,买入,,调高,评级变动方向
708,光大证券,王招华,2016-05-26,20170526.0,买入,,调高,评级变动方向
709,安信证券,衡昆,2016-02-01,20160801.0,买入,,调高,评级变动方向
711,中泰证券,王晛,2016-10-17,20171017.0,买入,增持,调高,评级变动方向
716,华泰证券,王楠,2016-11-29,20170529.0,买入,,调高,评级变动方向
719,海通证券,钟奇,2016-08-26,20170226.0,买入,,调高,评级变动方向
728,海通证券,孙婷,2016-07-08,20170108.0,买入,,调高,评级变动方向
729,海通证券,闻宏伟,2016-05-03,20161103.0,买入,,调高,评级变动方向
758,中信建投,陈炳辉,2016-07-12,20170112.0,买入,,调高,评级变动方向
759,中银国际,唐佳睿,2016-02-03,20170203.0,买入,谨慎买入,调高,评级变动方向
759,海通证券,汪立亭,2016-04-12,20161012.0,买入,,调高,评级变动方向
