交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
1,申万宏源,谢云霞,2018-03-18,20180918.0,买入,,调高,评级变动方向
1,中原证券,刘冉,2018-04-23,20181023.0,买入,,调高,评级变动方向
2,广发证券,乐加栋,2018-02-14,20190214.0,买入,谨慎增持,调高,评级变动方向
2,中信建投,陈慎,2018-03-27,20180927.0,买入,,调高,评级变动方向
28,中泰证券,江琦,2018-08-24,20190824.0,买入,,调高,评级变动方向
31,华泰证券,贾亚童,2018-08-29,20190228.0,买入,增持,调高,评级变动方向
39,东北证券,刘军,2018-02-03,20180803.0,买入,增持,调高,评级变动方向
49,申万宏源,杨海燕,2018-10-16,20190416.0,买入,,调高,评级变动方向
63,财通证券,赵成,2018-02-02,20180802.0,买入,,调高,评级变动方向
63,银河国际,布家杰,2018-10-26,20191026.0,买入,持有,调高,评级变动方向
100,申万宏源,周海晨,2018-07-13,20190113.0,买入,增持,调高,评级变动方向
423,天风证券,郑薇,2018-03-16,20180916.0,买入,,调高,评级变动方向
425,东北证券,刘军,2018-04-17,20181017.0,买入,增持,调高,评级变动方向
513,国信证券,谢长雁,2018-12-05,20190605.0,买入,,调高,评级变动方向
519,太平洋证券,马浩然,2018-04-16,20181016.0,买入,,调高,评级变动方向
528,东北证券,刘军,2018-02-06,20180806.0,买入,增持,调高,评级变动方向
528,中泰证券,王华君,2018-03-07,20190307.0,买入,,调高,评级变动方向
629,东北证券,刘立喜,2018-08-09,20190209.0,买入,中性,调高,评级变动方向
639,安信证券,苏铖,2018-01-22,20180722.0,买入,,调高,评级变动方向
651,西部证券,雒雅梅,2018-10-31,20191031.0,买入,,调高,评级变动方向
656,东北证券,高建,2018-08-24,20190224.0,买入,增持,调高,评级变动方向
661,国金证券,李敬雷,2018-07-09,20190709.0,买入,增持,调高,评级变动方向
671,东北证券,高建,2018-04-17,20181017.0,买入,增持,调高,评级变动方向
672,长江证券,范超,2018-03-02,20190302.0,买入,,调高,评级变动方向
681,国元证券,李典,2018-11-01,20190501.0,买入,,调高,评级变动方向
703,东方证券,赵辰,2018-08-23,20190823.0,买入,,调高,评级变动方向
725,申万宏源,骆思远,2018-03-19,20180919.0,买入,,调高,评级变动方向
789,中银国际,王钦,2018-08-29,20190228.0,买入,增持,调高,评级变动方向
799,太平洋证券,黄付生,2018-03-09,20180909.0,买入,,调高,评级变动方向
