交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
1,2019-03-07,20181231,合并报表,24818000000.0,24367000000.0
26,2019-03-15,20181231,合并报表,183835095.29,169000000.0
28,2019-04-25,20181231,合并报表,1210742435.78,1192500000.0
34,2019-03-27,20181231,合并报表,512408008.06,500000000.0
39,2019-03-28,20181231,合并报表,3380436000.0,2404070000.0
69,2019-03-30,20181231,合并报表,10588870563.62,9845000000.0
157,2019-03-30,20181231,合并报表,2019857001.7,1750000000.0
338,2019-03-26,20181231,合并报表,8657527308.21,7767177500.0
418,2019-03-30,20181231,合并报表,1862458658.29,1814745000.0
423,2019-03-14,20181231,合并报表,2084866052.69,2038395000.0
425,2019-04-30,20181231,合并报表,2045733651.54,1846980000.0
429,2019-03-29,20181231,合并报表,1677028179.18,1473000000.0
543,2019-04-27,20181231,合并报表,556267729.59,398000000.0
547,2019-04-20,20181231,合并报表,448256765.43,444500000.0
568,2019-04-26,20181231,合并报表,3485643008.98,3380918888.888889
596,2019-04-27,20181231,合并报表,1695231643.05,1634250000.0
603,2019-04-23,20181231,合并报表,411755333.63,362066666.6666667
620,2019-04-26,20181231,合并报表,1186458516.42,1090000000.0
639,2019-04-27,20181231,合并报表,468462924.19,462100000.0
661,2019-03-07,20181231,合并报表,1006495359.46,973000000.0
708,2019-02-27,20181231,合并报表,510178493.96,508000000.0
728,2019-03-26,20181231,合并报表,670370829.86,505000000.0
733,2019-04-18,20181231,合并报表,258957433.94,242000000.0
756,2019-03-25,20181231,合并报表,250833425.15,250030000.0
823,2019-04-20,20181231,合并报表,269843536.41,246000000.0
825,2019-04-26,20181231,合并报表,4977269105.8,4775000000.0
830,2019-04-09,20181231,合并报表,3066994816.25,3051000000.0
858,2019-03-28,20181231,合并报表,13384246683.6,12833908888.88889
869,2019-04-20,20181231,合并报表,1042632929.0,983000000.0
908,2019-04-25,20181231,合并报表,186812660.38,181575000.0
961,2019-04-23,20181231,合并报表,2193097869.05,2187666666.6666665
963,2019-04-19,20181231,合并报表,2267229174.08,2197734444.4444447
966,2019-04-12,20181231,合并报表,208686527.74,182000000.0
967,2019-04-19,20181231,合并报表,928577765.32,399450000.0
977,2019-03-29,20181231,合并报表,658597936.72,634708000.0
2007,2019-03-29,20181231,合并报表,1139512936.78,1106056666.6666667
2010,2019-04-16,20181231,合并报表,818985323.52,769990000.0
2014,2019-02-28,20181231,合并报表,225324381.72,223000000.0
2023,2019-04-16,20181231,合并报表,64048948.43,56000000.0
2024,2019-03-30,20181231,合并报表,13327559000.0,7244892857.142858
2032,2019-03-28,20181231,合并报表,1669873440.0,1619060000.0
2048,2019-04-24,20181231,合并报表,731796363.54,660000000.0
2053,2019-03-28,20181231,合并报表,114842154.83,109000000.0
2080,2019-03-20,20181231,合并报表,934141403.3,864151666.6666666
2087,2019-04-09,20181231,合并报表,386464408.69,385700000.0
2111,2019-04-23,20181231,合并报表,234817565.2,213120000.0
2120,2019-04-29,20181231,合并报表,2697993712.88,2544930000.0
2127,2019-04-26,20181231,合并报表,886472236.97,855530000.0
2128,2019-04-23,20181231,合并报表,2027025694.75,1966000000.0
2129,2019-03-30,20181231,合并报表,632256816.92,559426666.6666666
2155,2019-03-26,20181231,合并报表,270411427.8,236000000.0
2159,2019-03-30,20181231,合并报表,134726722.18,131450000.0
2174,2019-04-30,20181231,合并报表,1009116882.41,966098000.0
2179,2019-03-21,20181231,合并报表,953760695.92,932000000.0
2182,2019-03-21,20181231,合并报表,329502481.09,281333333.3333333
2189,2019-04-13,20181231,合并报表,162197680.02,68050000.0
2191,2019-04-18,20181231,合并报表,725308104.74,716482857.1428572
2195,2019-04-15,20181231,合并报表,1367355675.26,1350000000.0
2223,2019-04-18,20181231,合并报表,727154342.46,717080000.0
2230,2019-04-19,20181231,合并报表,542066004.0,524000000.0
2242,2019-03-30,20181231,合并报表,754255160.96,733750000.0
2262,2019-02-28,20181231,合并报表,524807849.78,490493333.3333333
2299,2019-03-27,20181231,合并报表,1505485174.64,1223000000.0
2311,2019-04-16,20181231,合并报表,1437281732.28,1384830000.0
2318,2019-03-19,20181231,合并报表,303636480.24,294000000.0
2352,2019-03-16,20181231,合并报表,4556048279.54,4080720000.0
2353,2019-04-10,20181231,合并报表,615241436.05,540093333.3333334
2385,2019-04-24,20181231,合并报表,506911261.57,397595000.0
2405,2019-04-16,20181231,合并报表,479070711.85,369500000.0
2430,2019-03-30,20181231,合并报表,740863070.52,711240000.0
2463,2019-03-26,20181231,合并报表,570448021.0,555302857.1428572
2465,2019-04-19,20181231,合并报表,430196411.04,412000000.0
2466,2019-03-29,20181231,合并报表,2200112183.21,2105563333.3333333
2475,2019-04-16,20181231,合并报表,2722631125.23,2532877500.0
2485,2019-04-16,20181231,合并报表,128891936.61,119000000.0
2507,2019-03-22,20181231,合并报表,661719638.12,645402500.0
2538,2019-04-26,20181231,合并报表,300137644.18,275000000.0
2557,2019-04-12,20181231,合并报表,432808513.09,405700000.0
2563,2019-04-26,20181231,合并报表,1693628451.69,1565500000.0
2607,2019-04-09,20181231,合并报表,1152887416.22,548607666.6666666
2616,2019-02-28,20181231,合并报表,166812740.54,145855000.0
2643,2019-03-28,20181231,合并报表,444476819.32,426853333.3333333
2648,2019-03-12,20181231,合并报表,940627801.89,919965000.0
2653,2019-03-28,20181231,合并报表,333228517.17,322000000.0
2675,2019-02-01,20181231,合并报表,280426749.11,277000000.0
2690,2019-04-03,20181231,合并报表,447882865.39,438516666.6666667
2705,2019-04-27,20181231,合并报表,502708939.47,490323333.3333333
2734,2019-04-12,20181231,合并报表,206113576.77,197030000.0
2749,2019-04-26,20181231,合并报表,234589155.3,214702500.0
2768,2019-04-23,20181231,合并报表,308461009.74,294753333.3333333
2798,2019-03-30,20181231,合并报表,380640027.81,351000000.0
2803,2019-04-29,20181231,合并报表,213169745.48,207000000.0
2810,2019-03-12,20181231,合并报表,73406778.56,71000000.0
2832,2019-04-20,20181231,合并报表,292257417.5,263000000.0
2851,2019-04-17,20181231,合并报表,202099731.7,183000000.0
2860,2019-04-26,20181231,合并报表,95412383.97,95360000.0
2916,2019-03-13,20181231,合并报表,697252358.02,626160000.0
2918,2019-04-24,20181231,合并报表,362384057.61,350000000.0
2933,2019-04-10,20181231,合并报表,141331357.46,135000000.0
2938,2019-04-01,20181231,合并报表,2771221516.47,2720620000.0
2942,2019-03-29,20181231,合并报表,128102328.53,125525000.0
300012,2019-04-26,20181231,合并报表,269983678.83,251931000.0
300014,2019-04-29,20181231,合并报表,570707025.25,532120000.0
300016,2019-02-28,20181231,合并报表,147761859.1,145050000.0
300033,2019-02-26,20181231,合并报表,633934218.67,580936666.6666666
300037,2019-03-19,20181231,合并报表,320050708.63,309087500.0
300057,2019-04-10,20181231,合并报表,121818176.51,116666666.66666667
300073,2019-04-23,20181231,合并报表,316161488.03,293470000.0
300082,2019-04-30,20181231,合并报表,325690535.55,319000000.0
300130,2019-04-26,20181231,合并报表,247879868.58,227000000.0
300150,2019-04-19,20181231,合并报表,88239400.46,60000000.0
300193,2019-03-16,20181231,合并报表,190782362.94,187000000.0
300248,2019-03-30,20181231,合并报表,96112608.43,85130000.0
300284,2019-04-16,20181231,合并报表,623281465.56,577612500.0
300285,2019-02-28,20181231,合并报表,543033726.98,516982222.2222222
300294,2019-04-24,20181231,合并报表,469174808.3,452000000.0
300347,2019-04-26,20181231,合并报表,472183931.65,457611666.6666667
300349,2019-04-10,20181231,合并报表,498062172.61,471500000.0
300394,2019-04-09,20181231,合并报表,135532003.56,129500000.0
300403,2019-03-23,20181231,合并报表,162757923.91,154000000.0
300445,2019-03-27,20181231,合并报表,74010155.12,66620000.0
300455,2019-03-12,20181231,合并报表,75657274.47,75030000.0
300457,2019-04-02,20181231,合并报表,324515917.96,302030000.0
300496,2019-04-26,20181231,合并报表,164304280.8,151000000.0
300525,2019-03-19,20181231,合并报表,85349226.11,75750000.0
300567,2019-04-23,20181231,合并报表,288959836.69,276192000.0
300568,2019-03-15,20181231,合并报表,222151349.66,204572500.0
300569,2019-04-15,20181231,合并报表,102337083.35,98600000.0
300570,2019-03-29,20181231,合并报表,152734465.93,141395000.0
300572,2019-04-08,20181231,合并报表,125297647.75,119500000.0
300575,2019-03-22,20181231,合并报表,209158538.75,180000000.0
300590,2019-03-16,20181231,合并报表,124600313.91,120830000.0
300628,2019-04-24,20181231,合并报表,851477077.83,806400000.0
300630,2019-04-02,20181231,合并报表,181427309.51,178500000.0
300638,2019-03-08,20181231,合并报表,86796907.26,80000000.0
300662,2019-04-23,20181231,合并报表,117674956.44,116000000.0
300687,2019-04-25,20181231,合并报表,113546356.63,113500000.0
300699,2019-03-26,20181231,合并报表,376580541.94,349000000.0
300701,2019-04-23,20181231,合并报表,70320684.35,70000000.0
300722,2019-03-06,20181231,合并报表,74028346.13,56790000.0
300725,2019-04-02,20181231,合并报表,133363374.84,110000000.0
300760,2019-04-23,20181231,合并报表,3719236169.0,3677512000.0
600000,2019-03-26,20181231,合并报表,55914000000.0,55569000000.0
600004,2019-04-30,20181231,合并报表,1129170962.91,1095213333.3333333
600008,2019-03-30,20181231,合并报表,719406402.43,647000000.0
600015,2019-04-19,20181231,合并报表,20854000000.0,20348500000.0
600019,2019-04-25,20181231,合并报表,21565163754.79,21317534285.714287
600054,2019-04-13,20181231,合并报表,582513377.03,444000000.0
600055,2019-04-27,20181231,合并报表,153333141.88,148665000.0
600057,2019-04-26,20181231,合并报表,1068054355.09,1055620000.0
600061,2019-03-29,20181231,合并报表,1679459372.93,1638000000.0
600075,2019-04-10,20181231,合并报表,493594305.6,410000000.0
600109,2019-03-29,20181231,合并报表,1010492527.44,992000000.0
600111,2019-04-20,20181231,合并报表,583791173.46,461000000.0
600150,2019-03-20,20181231,合并报表,489213355.66,379327500.0
600153,2019-04-23,20181231,合并报表,4672023584.96,3929666666.6666665
600160,2019-04-19,20181231,合并报表,2152555375.44,2094622500.0
600167,2019-03-12,20181231,合并报表,1316794135.38,1141000000.0
600170,2019-03-29,20181231,合并报表,2779866799.83,2485000000.0
600188,2019-03-30,20181231,合并报表,7908904000.0,7650432500.0
600196,2019-03-26,20181231,合并报表,2707923418.34,2682500000.0
600206,2019-03-15,20181231,合并报表,78967781.59,63000000.0
600217,2019-04-16,20181231,合并报表,316138095.61,282000000.0
600233,2019-04-18,20181231,合并报表,1903982896.94,1800000000.0
600271,2019-03-29,20181231,合并报表,1617999798.23,1609462500.0
600276,2019-02-16,20181231,合并报表,4065609716.04,3912984000.0
600315,2019-03-13,20181231,合并报表,540379997.4,526666666.6666667
600316,2019-03-21,20181231,合并报表,148368672.14,36000000.0
600323,2019-03-22,20181231,合并报表,875513271.36,814561764.7058823
600325,2019-04-16,20181231,合并报表,2284363766.68,2068150000.0
600348,2019-04-13,20181231,合并报表,1971274188.39,1755000000.0
600352,2019-04-02,20181231,合并报表,4111364628.97,4100661666.6666665
600366,2019-04-26,20181231,合并报表,89328734.5,88000000.0
600383,2019-04-30,20181231,合并报表,8098422083.25,8064233333.333333
600388,2019-04-04,20181231,合并报表,801217236.99,799500000.0
600406,2019-04-29,20181231,合并报表,4162074561.84,3945751666.6666665
600452,2019-03-29,20181231,合并报表,348720120.77,285465000.0
600461,2019-04-19,20181231,合并报表,336006633.61,331333333.3333333
600481,2019-03-30,20181231,合并报表,251832770.67,221000000.0
