交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
8,2017-04-01,20161231,合并报表,521866228.2,455000000.0
28,2017-04-19,20161231,合并报表,1186601899.27,978000000.0
39,2017-03-28,20161231,合并报表,539660000.0,227333333.33333334
49,2017-03-13,20161231,合并报表,255301337.09,230240000.0
59,2017-04-18,20161231,合并报表,1803243467.38,1792385000.0
60,2017-04-01,20161231,合并报表,323228814.39,298480000.0
65,2017-04-29,20161231,合并报表,461048956.55,377316666.6666667
69,2017-04-08,20161231,合并报表,6888417931.36,5229000000.0
338,2017-03-30,20161231,合并报表,2441188631.73,2197000000.0
400,2017-03-25,20161231,合并报表,868925025.23,848754285.7142857
401,2017-03-23,20161231,合并报表,52885484.51,46500000.0
404,2017-03-31,20161231,合并报表,252290794.65,242260000.0
423,2017-03-10,20161231,合并报表,1852473518.27,1832581538.4615386
488,2017-02-18,20161231,合并报表,2063986822.25,1807000000.0
501,2017-04-22,20161231,合并报表,991634079.69,959180000.0
513,2017-03-25,20161231,合并报表,784353607.06,768520000.0
528,2017-03-30,20161231,合并报表,49260116.04,18000000.0
530,2017-04-22,20161231,合并报表,178632660.24,167500000.0
546,2017-04-08,20161231,合并报表,305509651.48,294000000.0
554,2017-04-26,20161231,合并报表,4327459.16,4230000.0
568,2017-04-19,20161231,合并报表,1927743515.83,1860665000.0
581,2017-04-18,20161231,合并报表,1672224317.05,1670300000.0
591,2017-03-18,20161231,合并报表,653249269.28,550260000.0
615,2017-03-17,20161231,合并报表,109245129.17,63695000.0
651,2017-04-27,20161231,合并报表,15420964990.94,14448207142.857143
661,2017-02-28,20161231,合并报表,484852471.39,475666666.6666667
679,2017-04-28,20161231,合并报表,133730015.11,6600000.0
690,2017-04-22,20161231,合并报表,674563689.03,652000000.0
703,2017-03-21,20161231,合并报表,830337431.1,759000000.0
709,2017-04-28,20161231,合并报表,1555479163.09,1368000000.0
717,2017-03-11,20161231,合并报表,101427310.05,46140000.0
756,2017-03-15,20161231,合并报表,122271549.68,115710000.0
767,2017-04-21,20161231,合并报表,85623969.31,20000000.0
776,2017-03-25,20161231,合并报表,8030106628.93,7435000000.0
786,2017-03-20,20161231,合并报表,1171068643.95,1130000000.0
797,2017-04-08,20161231,合并报表,219664175.23,136000000.0
799,2017-03-29,20161231,合并报表,108584368.32,99940000.0
802,2017-03-17,20161231,合并报表,522399245.76,233682000.0
811,2017-04-13,20161231,合并报表,300885489.81,288333333.3333333
820,2017-04-27,20161231,合并报表,333302247.63,303733333.3333333
823,2017-04-15,20161231,合并报表,187221820.62,144500000.0
829,2017-03-23,20161231,合并报表,223426764.04,174880000.0
830,2017-04-18,20161231,合并报表,252597950.3,235000000.0
877,2017-03-16,20161231,合并报表,99785378.57,14800000.0
898,2017-03-29,20161231,合并报表,1616000000.0,1593166666.6666667
903,2017-04-28,20161231,合并报表,223893388.72,216000000.0
910,2017-03-28,20161231,合并报表,541118174.18,446270000.0
921,2017-03-30,20161231,合并报表,1087732130.38,1062000000.0
928,2017-03-29,20161231,合并报表,512412895.81,478930000.0
933,2017-04-11,20161231,合并报表,342139236.6,212330000.0
936,2017-03-11,20161231,合并报表,604450995.42,564900000.0
951,2017-03-30,20161231,合并报表,418178912.71,369500000.0
957,2017-04-29,20161231,合并报表,585811826.61,585000000.0
968,2017-04-25,20161231,合并报表,384457198.26,304310000.0
980,2017-02-16,20161231,合并报表,86784363.52,71740000.0
997,2017-03-29,20161231,合并报表,461347309.47,451671666.6666667
1979,2017-03-28,20161231,合并报表,9581416757.52,8730016666.666666
2005,2017-04-28,20161231,合并报表,31719896.61,24300000.0
2024,2017-03-31,20161231,合并报表,704414000.0,284380000.0
2027,2017-04-28,20161231,合并报表,4451211722.61,4350847500.0
2029,2017-04-01,20161231,合并报表,267191552.85,245000000.0
2032,2017-03-30,20161231,合并报表,1077519156.4,1064666666.6666666
2035,2017-04-26,20161231,合并报表,327521616.96,311200000.0
2042,2017-03-24,20161231,合并报表,479158046.04,421000000.0
2045,2017-03-22,20161231,合并报表,60423495.0,56000000.0
2046,2017-03-23,20161231,合并报表,12578104.64,-20000000.0
2048,2017-04-19,20161231,合并报表,713885581.89,710935000.0
2053,2017-03-25,20161231,合并报表,270126824.99,258760000.0
2058,2017-03-29,20161231,合并报表,5243374.12,2700000.0
2075,2017-03-28,20161231,合并报表,219995535.15,147400000.0
2078,2017-04-25,20161231,合并报表,1056761818.09,1001436000.0
2083,2017-04-08,20161231,合并报表,378161979.87,367523333.3333333
2084,2017-03-31,20161231,合并报表,84975536.01,67542000.0
2088,2017-04-26,20161231,合并报表,104668234.72,100000000.0
2092,2017-03-20,20161231,合并报表,1843474395.45,1406000000.0
2094,2017-04-28,20161231,合并报表,185337758.69,181516666.66666666
2100,2017-04-20,20161231,合并报表,392541388.03,354000000.0
2106,2017-03-31,20161231,合并报表,211773531.75,176500000.0
2115,2017-04-07,20161231,合并报表,27600546.28,23000000.0
2120,2017-04-18,20161231,合并报表,1177224336.36,1164000000.0
2126,2017-04-15,20161231,合并报表,256729234.28,252376666.66666666
2143,2017-04-29,20161231,合并报表,730954886.33,666440000.0
2146,2017-04-20,20161231,合并报表,4148093110.68,3601666666.6666665
2148,2017-03-29,20161231,合并报表,78830452.35,73415000.0
2150,2017-04-18,20161231,合并报表,99329613.55,83000000.0
2158,2017-03-30,20161231,合并报表,166452855.41,158990000.0
2167,2017-04-27,20161231,合并报表,25444782.03,15510000.0
2171,2017-04-25,20161231,合并报表,187401526.21,185000000.0
2182,2017-03-30,20161231,合并报表,169302171.58,169000000.0
2195,2017-03-10,20161231,合并报表,634965588.1,573741428.5714285
2205,2017-03-24,20161231,合并报表,13328630.99,-1835000.0
2215,2017-04-08,20161231,合并报表,-276246681.01,-288515000.0
2217,2017-04-25,20161231,合并报表,873794569.82,805020000.0
2223,2017-04-08,20161231,合并报表,500255228.93,499195000.0
2229,2017-04-15,20161231,合并报表,12680057.52,6000000.0
2239,2017-04-06,20161231,合并报表,446072250.61,414200000.0
2242,2017-04-15,20161231,合并报表,697726767.34,692500000.0
2258,2017-02-25,20161231,合并报表,208347320.8,176898000.0
2259,2017-04-14,20161231,合并报表,71382701.93,22170000.0
2273,2017-03-25,20161231,合并报表,253668997.9,226530000.0
2283,2017-03-14,20161231,合并报表,194296829.19,177000000.0
2291,2017-04-25,20161231,合并报表,20839621.11,18920000.0
2301,2017-03-20,20161231,合并报表,104891423.62,99995000.0
2304,2017-04-28,20161231,合并报表,5827168870.88,5758614000.0
