交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
1,2013-03-08,20121231,合并报表,13402701000.0,12867000000.0
2,2013-02-28,20121231,合并报表,12551182392.23,12385383333.333334
6,2013-03-30,20121231,合并报表,617150754.0,504000000.0
21,2013-03-29,20121231,合并报表,93561007.08,77530000.0
24,2013-03-19,20121231,合并报表,3318266875.59,3287342857.142857
28,2013-03-21,20121231,合并报表,475792491.12,454450000.0
46,2013-04-20,20121231,合并报表,782077010.66,578000000.0
49,2013-04-23,20121231,合并报表,143636476.53,136785000.0
69,2013-03-09,20121231,合并报表,3849766455.36,3707500000.0
89,2013-03-29,20121231,合并报表,579398000.75,573000000.0
404,2013-04-12,20121231,合并报表,102960392.99,93000000.0
422,2013-03-30,20121231,合并报表,866186548.69,706000000.0
425,2013-03-26,20121231,合并报表,2466305270.14,2260000000.0
501,2013-04-24,20121231,合并报表,402413558.68,378000000.0
521,2013-03-22,20121231,合并报表,192197887.93,159000000.0
525,2013-03-19,20121231,合并报表,290317665.18,279935000.0
538,2013-03-19,20121231,合并报表,1582515843.41,1550666666.6666667
539,2013-04-13,20121231,合并报表,1698728966.0,1164813333.3333333
572,2013-04-25,20121231,合并报表,164478040.27,66360000.0
587,2013-04-27,20121231,合并报表,177419119.23,175000000.0
598,2013-03-15,20121231,合并报表,725862417.59,714100000.0
625,2013-04-18,20121231,合并报表,1446409591.28,1098682000.0
630,2013-03-23,20121231,合并报表,923870393.15,909153333.3333334
651,2013-04-27,20121231,合并报表,7379666345.09,6997535000.0
665,2013-04-25,20121231,合并报表,179969390.27,117000000.0
671,2013-03-30,20121231,合并报表,558606712.86,489000000.0
708,2013-02-27,20121231,合并报表,218220885.0,205200000.0
725,2013-04-23,20121231,合并报表,258133391.0,-34882500.0
738,2013-03-30,20121231,合并报表,196711901.6,151000000.0
739,2013-04-24,20121231,合并报表,137133177.56,105080000.0
759,2013-04-20,20121231,合并报表,205114110.01,196592000.0
778,2013-03-19,20121231,合并报表,1265866614.6,1034700000.0
785,2013-03-29,20121231,合并报表,57545635.82,57270000.0
789,2013-04-26,20121231,合并报表,190487255.09,188000000.0
792,2013-03-27,20121231,合并报表,2524262260.84,2202000000.0
825,2013-04-19,20121231,合并报表,1105718069.1,525130000.0
826,2013-03-29,20121231,合并报表,429166099.51,421964444.4444444
858,2013-04-02,20121231,合并报表,9934872820.43,9444928333.333334
888,2013-03-20,20121231,合并报表,188837220.87,174666666.66666666
906,2013-04-18,20121231,合并报表,19901193.29,10000000.0
915,2013-03-02,20121231,合并报表,121590667.17,115000000.0
917,2013-04-25,20121231,合并报表,586890591.54,516000000.0
921,2013-03-29,20121231,合并报表,717764680.4,698250000.0
937,2013-04-27,20121231,合并报表,2250555776.47,2195566666.6666665
951,2013-03-27,20121231,合并报表,46473329.75,28500000.0
973,2013-03-23,20121231,合并报表,120162593.47,79000000.0
987,2013-03-29,20121231,合并报表,381622544.87,380555000.0
999,2013-03-28,20121231,合并报表,1014076121.87,1002250000.0
1872,2013-03-27,20121231,合并报表,467103270.0,455000000.0
2013,2013-04-23,20121231,合并报表,371445136.5,360000000.0
2023,2013-03-26,20121231,合并报表,81092048.02,73036666.66666667
2028,2013-03-23,20121231,合并报表,248296703.64,219333333.33333334
2029,2013-04-03,20121231,合并报表,561116022.61,550333333.3333334
2030,2013-03-30,20121231,合并报表,90165000.8,86950000.0
2032,2013-03-30,20121231,合并报表,469139044.47,429000000.0
2035,2013-03-19,20121231,合并报表,159189254.32,155320000.0
2063,2013-04-24,20121231,合并报表,288004446.86,273666666.6666667
2078,2013-04-24,20121231,合并报表,176344856.54,175000000.0
2088,2013-04-19,20121231,合并报表,84635607.18,84000000.0
2111,2013-04-16,20121231,合并报表,88880494.26,86000000.0
2128,2013-03-14,20121231,合并报表,1572257729.89,1150390000.0
2146,2013-03-20,20121231,合并报表,2140136235.99,2104666666.6666667
2151,2013-02-28,20121231,合并报表,46111402.16,40000000.0
2153,2013-03-30,20121231,合并报表,294778718.84,290780000.0
2165,2013-04-24,20121231,合并报表,78408733.3,75000000.0
2205,2013-03-19,20121231,合并报表,16078161.71,11700000.0
2211,2013-04-16,20121231,合并报表,3684272.63,2230000.0
2215,2013-04-19,20121231,合并报表,129376029.42,118680000.0
2236,2013-03-18,20121231,合并报表,700155145.05,643855000.0
2237,2013-04-19,20121231,合并报表,290314087.84,208830000.0
2251,2013-03-28,20121231,合并报表,342896031.64,338020000.0
2252,2013-03-28,20121231,合并报表,225013842.6,218000000.0
2253,2013-03-20,20121231,合并报表,61586320.71,58240000.0
2264,2013-03-22,20121231,合并报表,159534137.24,148550000.0
2277,2013-03-04,20121231,合并报表,376005743.29,362490909.09090906
2285,2013-03-26,20121231,合并报表,211291633.11,186000000.0
2286,2013-04-18,20121231,合并报表,67325738.77,63740000.0
2292,2013-03-19,20121231,合并报表,181384196.09,178740000.0
2293,2013-04-20,20121231,合并报表,382086766.76,360766666.6666667
2294,2013-03-26,20121231,合并报表,635167523.74,600666666.6666666
2303,2013-03-30,20121231,合并报表,107191947.89,103249550.0
2310,2013-04-18,20121231,合并报表,688122933.46,673000000.0
2311,2013-04-18,20121231,合并报表,452337470.72,452080000.0
2316,2013-03-29,20121231,合并报表,56249598.4,56000000.0
2324,2013-04-18,20121231,合并报表,158622279.56,137987500.0
2334,2013-03-28,20121231,合并报表,90422864.27,86160000.0
2339,2013-04-10,20121231,合并报表,102765584.69,90023333.33333333
2344,2013-04-20,20121231,合并报表,704558947.95,692050000.0
2353,2013-03-23,20121231,合并报表,643202645.16,612066666.6666666
2364,2013-02-28,20121231,合并报表,85641475.22,77000000.0
2367,2013-03-29,20121231,合并报表,186978749.5,179630000.0
2372,2013-04-18,20121231,合并报表,235936331.31,229600000.0
2376,2013-04-19,20121231,合并报表,205289994.07,204000000.0
2391,2013-03-28,20121231,合并报表,159515759.51,157500000.0
2400,2013-03-28,20121231,合并报表,180911486.88,142126000.0
2410,2013-03-28,20121231,合并报表,308754551.57,287160000.0
