交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
603019,2018-03-24,20171231,合并报表,308822733.01,302337500.0
603025,2018-03-28,20171231,合并报表,396512964.81,378500000.0
603030,2018-03-30,20171231,合并报表,164755598.68,148730000.0
603039,2018-03-26,20171231,合并报表,86970596.44,86500000.0
603040,2018-04-23,20171231,合并报表,105247900.21,103020000.0
603043,2018-04-17,20171231,合并报表,340371146.46,306000000.0
603060,2018-04-02,20171231,合并报表,144224161.14,143000000.0
603096,2018-03-30,20171231,合并报表,232322877.8,232000000.0
603165,2018-04-20,20171231,合并报表,398682250.67,388000000.0
603167,2018-03-21,20171231,合并报表,362671931.67,362000000.0
603180,2018-03-28,20171231,合并报表,166748221.45,166000000.0
603198,2018-04-24,20171231,合并报表,666635739.27,660130000.0
603208,2018-03-20,20171231,合并报表,137529772.38,131000000.0
603223,2018-04-25,20171231,合并报表,61954210.86,53670000.0
603260,2018-04-20,20171231,合并报表,1516972375.67,1403000000.0
603337,2018-03-31,20171231,合并报表,324054690.0,321264666.6666667
603339,2018-04-17,20171231,合并报表,172184765.2,169390000.0
603359,2018-04-20,20171231,合并报表,242813247.82,237500000.0
603365,2018-04-11,20171231,合并报表,257349047.34,257340000.0
603368,2018-03-20,20171231,合并报表,401379997.43,400000000.0
603383,2018-04-03,20171231,合并报表,101908339.29,95795000.0
603387,2018-04-11,20171231,合并报表,193988370.3,193767500.0
603429,2018-04-03,20171231,合并报表,99154950.06,95000000.0
603496,2018-04-20,20171231,合并报表,75236384.38,73320000.0
603505,2018-04-21,20171231,合并报表,77114614.43,68000000.0
603515,2018-04-18,20171231,合并报表,681100405.73,678315000.0
603517,2018-04-16,20171231,合并报表,501724536.36,500661250.0
603568,2018-04-16,20171231,合并报表,506862188.71,471272500.0
603589,2018-04-27,20171231,合并报表,1113662962.56,1043500000.0
603595,2018-03-23,20171231,合并报表,173365697.81,146127500.0
603602,2018-04-03,20171231,合并报表,59946934.87,55000000.0
603605,2018-04-18,20171231,合并报表,200785787.88,197000000.0
603608,2018-04-03,20171231,合并报表,187938425.0,173750000.0
603609,2018-03-13,20171231,合并报表,471024473.92,415990000.0
603612,2018-03-20,20171231,合并报表,547767795.97,509500000.0
603638,2018-04-20,20171231,合并报表,139687208.0,138906666.66666666
603639,2018-03-31,20171231,合并报表,286035336.33,226465000.0
603660,2018-04-18,20171231,合并报表,270772956.34,258050000.0
603707,2018-01-27,20171231,合并报表,314222399.37,311500000.0
603711,2018-04-27,20171231,合并报表,267766144.24,246750000.0
603716,2018-03-24,20171231,合并报表,93847385.0,85000000.0
603727,2018-04-27,20171231,合并报表,109856887.25,102000000.0
603738,2018-04-12,20171231,合并报表,64539616.99,63000000.0
603766,2018-04-04,20171231,合并报表,964550908.31,947880000.0
603799,2018-04-26,20171231,合并报表,1895512962.11,1460362000.0
603801,2018-03-16,20171231,合并报表,234222776.84,234045000.0
603806,2018-03-16,20171231,合并报表,585192012.41,515651666.6666667
603808,2018-04-26,20171231,合并报表,302316480.29,288672500.0
603818,2018-03-28,20171231,合并报表,245650562.86,234740000.0
603822,2018-04-05,20171231,合并报表,50986324.93,47000000.0
603833,2018-04-20,20171231,合并报表,1300132043.15,1256943333.3333333
603848,2018-04-16,20171231,合并报表,205826336.48,199000000.0
603866,2018-03-28,20171231,合并报表,513280855.0,503786666.6666667
603886,2018-04-23,20171231,合并报表,203513298.3,165720000.0
603939,2018-03-26,20171231,合并报表,313503561.35,301000000.0
603968,2018-04-18,20171231,合并报表,160790854.25,156860000.0
603988,2018-04-14,20171231,合并报表,33082306.53,33070000.0
