wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
002690.SZ,美亚光电,2014-12-04 00:00:00,2014-12-24 00:00:00,,300.0,0.89,"员工薪酬及自筹资金,向第三方融资",竞价转让,156.0,44.2,15.67
002491.SZ,通鼎互联,2014-12-09 00:00:00,2014-12-25 00:00:00,10000.0,1437.0,4.0,员工薪酬及自筹资金,竞价转让,641.0,82.0,18.0
002069.SZ,獐子岛,2014-12-05 00:00:00,2014-12-25 00:00:00,12000.0,776.2,1.09,员工薪酬及自筹资金,竞价转让,195.0,51.4,48.6
300317.SZ,珈伟新能,2014-12-12 00:00:00,2014-12-27 00:00:00,4155.0,300.0,,员工薪酬及自筹资金,认购非公开发行,,83.33,16.67
000718.SZ,苏宁环球,2014-12-11 00:00:00,2014-12-27 00:00:00,,4000.0,1.96,"员工薪酬及自筹资金,股东或实际控制人借款",定向受让,76.0,65.0,35.0
002573.SZ,清新环境,2014-12-13 00:00:00,2014-12-31 00:00:00,5000.0,915.0,1.72,员工薪酬及自筹资金,竞价转让,374.0,97.46,2.54
002353.SZ,杰瑞股份,2014-12-20 00:00:00,2015-01-07 00:00:00,4160.2496,2000.12,2.08,"员工薪酬及自筹资金,股东或实际控制人借款",定向受让,811.0,,
002658.SZ,雪迪龙,2014-12-23 00:00:00,2015-01-09 00:00:00,,,,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,186.0,83.91,16.09
300336.SZ,新文化,2014-12-24 00:00:00,2015-01-09 00:00:00,15000.0,488.0,2.54,"员工薪酬及自筹资金,向第三方融资",竞价转让,59.0,52.39,47.61
300179.SZ,四方达,2014-12-23 00:00:00,2015-01-09 00:00:00,10000.0,1039.0,,员工薪酬及自筹资金,认购非公开发行,91.0,15.25,84.75
300213.SZ,佳讯飞鸿,2014-12-25 00:00:00,2015-01-10 00:00:00,12000.0,369.0,1.46,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,150.0,92.21,7.8
300038.SZ,数知科技,2014-12-25 00:00:00,2015-01-13 00:00:00,5500.0,,,员工薪酬及自筹资金,竞价转让,50.0,87.27,12.73
300134.SZ,大富科技,2014-10-24 00:00:00,2015-01-13 00:00:00,,700.0,1.82,,股东赠与,800.0,75.0,25.0
002250.SZ,联化科技,2014-12-26 00:00:00,2015-01-14 00:00:00,3000.0,205.48,0.25,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,400.0,,
002131.SZ,利欧股份,2014-12-30 00:00:00,2015-01-16 00:00:00,1250.0,495.0,1.26,员工薪酬及自筹资金,竞价转让,,97.2,2.8
600282.SH,南钢股份,2014-12-26 00:00:00,2015-01-17 00:00:00,20084.45,8770.5,,员工薪酬及自筹资金,认购非公开发行,3717.0,91.56,8.44
300147.SZ,香雪制药,2015-01-01 00:00:00,2015-01-21 00:00:00,8000.0,1461.0,2.87,员工薪酬及自筹资金,竞价转让,650.0,57.4,42.6
002170.SZ,芭田股份,2015-01-05 00:00:00,2015-01-22 00:00:00,10735.0,3408.0,4.0,员工薪酬及自筹资金,竞价转让,350.0,88.64,11.36
300296.SZ,利亚德,2015-01-05 00:00:00,2015-01-22 00:00:00,23826.711,1118.1,3.0,员工薪酬及自筹资金,认购非公开发行,559.0,53.64,46.36
002301.SZ,齐心集团,2015-01-15 00:00:00,2015-01-31 00:00:00,1800.0,859.19,2.2842,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,21.0,72.23,27.77
300164.SZ,通源石油,2014-10-27 00:00:00,2015-01-31 00:00:00,8530.5,763.0,,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,125.0,22.28,77.72
300244.SZ,迪安诊断,2015-01-09 00:00:00,2015-01-31 00:00:00,11607.0,300.0,,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,,,
002137.SZ,麦达数字,2015-01-14 00:00:00,2015-02-02 00:00:00,220.0,789.1,1.71,员工薪酬及自筹资金,竞价转让,8.0,60.0,40.0
300376.SZ,易事特,2015-01-19 00:00:00,2015-02-05 00:00:00,10000.0,292.65,1.6358,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,415.0,80.86,5.47
601318.SH,中国平安,2014-10-29 00:00:00,2015-02-06 00:00:00,,,,员工薪酬及自筹资金,竞价转让,839.0,78.99,21.01
002664.SZ,长鹰信质,2015-01-09 00:00:00,2015-02-07 00:00:00,10020.0,400.0,1.9999,员工薪酬及自筹资金,竞价转让,150.0,76.35,23.65
300032.SZ,金龙机电,2015-01-27 00:00:00,2015-02-07 00:00:00,2450.0,432.0,2.0,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,142.0,74.08,25.92
002389.SZ,航天彩虹,2015-01-22 00:00:00,2015-02-07 00:00:00,7938.0,900.0,,员工薪酬及自筹资金,认购非公开发行,,,
002215.SZ,诺普信,2015-01-24 00:00:00,2015-02-10 00:00:00,5174.0,,,员工薪酬及自筹资金,竞价转让,360.0,96.63,3.37
002177.SZ,御银股份,2015-01-22 00:00:00,2015-02-10 00:00:00,3525.0,500.71,0.66,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,62.0,50.35,49.65
830899.OC,联讯证券,2015-01-24 00:00:00,2015-02-11 00:00:00,8345.36,5716.0,4.71,员工薪酬及自筹资金,认购非公开发行,1025.0,74.63,25.37
300007.SZ,汉威科技,2015-01-23 00:00:00,2015-02-11 00:00:00,3000.0,350.0,2.39,员工薪酬及自筹资金,"竞价转让,定向受让",70.0,40.0,60.0
000523.SZ,广州浪奇,2014-12-29 00:00:00,2015-02-12 00:00:00,1996.0,235.6551,,员工薪酬及自筹资金,认购非公开发行,33.0,72.91,27.09
300086.SZ,康芝药业,2015-01-26 00:00:00,2015-02-12 00:00:00,7200.0,522.5,1.74,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,180.0,57.52,42.48
600978.SH,宜华生活,2015-01-13 00:00:00,2015-02-12 00:00:00,11000.0,5205.0,3.5,员工薪酬及自筹资金,竞价转让,120.0,53.32,46.68
601799.SH,星宇股份,2015-01-29 00:00:00,2015-02-14 00:00:00,3038.3555,,,"员工薪酬及自筹资金,持股计划奖励金","竞价转让,定向受让,股东赠与",1057.0,96.03,3.97
002347.SZ,泰尔股份,2015-01-28 00:00:00,2015-02-14 00:00:00,3959.0,1070.0,4.76,员工薪酬及自筹资金,竞价转让,158.0,79.92,20.08
300208.SZ,青岛中程,2015-01-20 00:00:00,2015-02-17 00:00:00,2000.0,449.1,1.49,员工薪酬及自筹资金,竞价转让,10.0,98.0,2.0
600355.SH,精伦电子,2015-01-29 00:00:00,2015-02-17 00:00:00,1636.8,886.6,3.6,员工薪酬及自筹资金,"竞价转让,定向受让,股东赠与",98.0,85.5,14.5
300170.SZ,汉得信息,2015-02-10 00:00:00,2015-02-28 00:00:00,20000.0,955.57,1.74,"员工薪酬及自筹资金,向第三方融资","竞价转让,定向受让",22.0,98.0,2.0
