wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
300082.SZ,奥克股份,2015-05-28 00:00:00,2015-06-16 00:00:00,3000.0,277.0,0.41,员工薪酬及自筹资金,"竞价转让,定向受让",624.0,75.0,25.0
002594.SZ,比亚迪,2015-04-28 00:00:00,2015-06-17 00:00:00,,3266.0,1.32,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",97.0,86.36,13.64
002696.SZ,百洋股份,2015-05-28 00:00:00,2015-06-17 00:00:00,6000.0,406.5041,,员工薪酬及自筹资金,认购非公开发行,110.0,,15.0
300309.SZ,吉艾科技,2015-06-02 00:00:00,2015-06-18 00:00:00,10000.0,941.6195,1.7734,员工薪酬及自筹资金,认购非公开发行,300.0,74.61,25.39
002714.SZ,牧原股份,2015-04-28 00:00:00,2015-06-19 00:00:00,68000.0,2235.38,4.32,员工薪酬及自筹资金,认购非公开发行,500.0,82.35,17.65
002210.SZ,*ST飞马,2015-06-02 00:00:00,2015-06-19 00:00:00,6000.0,611.21,1.02,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,150.0,66.67,33.33
600036.SH,招商银行,2015-04-11 00:00:00,2015-06-20 00:00:00,600000.0,43478.2608,,员工薪酬及自筹资金,认购非公开发行,8500.0,98.2,1.8
300393.SZ,中来股份,2015-06-05 00:00:00,2015-06-20 00:00:00,4300.0,63.0,0.5272,员工薪酬及自筹资金,"竞价转让,定向受让",100.0,42.15,25.44
300312.SZ,邦讯技术,2015-06-04 00:00:00,2015-06-20 00:00:00,10000.0,494.56,3.09,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,30.0,60.0,40.0
002502.SZ,鼎龙文化,2015-05-30 00:00:00,2015-06-20 00:00:00,4424.0,258.4112,0.6,员工薪酬及自筹资金,认购非公开发行,78.0,,
830838.OC,新产业(退市),2015-06-09 00:00:00,2015-06-24 00:00:00,10000.0,1000.0,,员工薪酬及自筹资金,认购非公开发行,485.0,100.0,0.0
002721.SZ,金一文化,2015-06-04 00:00:00,2015-06-24 00:00:00,6500.0,,2.0,员工薪酬及自筹资金,竞价转让,207.0,70.46,29.54
002171.SZ,楚江新材,2015-05-11 00:00:00,2015-06-24 00:00:00,13000.0,1157.61,2.6,员工薪酬及自筹资金,认购非公开发行,83.0,66.45,33.55
300129.SZ,泰胜风能,2015-06-06 00:00:00,2015-06-24 00:00:00,17820.0,3600.0,10.0,员工薪酬及自筹资金,认购非公开发行,,50.81,49.19
300285.SZ,国瓷材料,2015-06-08 00:00:00,2015-06-24 00:00:00,14200.0,389.8956,,员工薪酬及自筹资金,认购非公开发行,351.0,,
600079.SH,人福医药,2015-06-09 00:00:00,2015-06-25 00:00:00,25000.0,2179.6,1.69,员工薪酬及自筹资金,竞价转让,1000.0,92.08,7.92
300249.SZ,依米康,2015-06-08 00:00:00,2015-06-25 00:00:00,2200.0,188.57,1.07,员工薪酬及自筹资金,竞价转让,180.0,60.0,12.73
300345.SZ,红宇新材,2015-06-09 00:00:00,2015-06-25 00:00:00,3000.0,168.85,1.35,员工薪酬及自筹资金,竞价转让,150.0,62.33,37.67
300098.SZ,高新兴,2015-05-28 00:00:00,2015-06-25 00:00:00,14800.0,906.8627,,员工薪酬及自筹资金,认购非公开发行,119.0,56.55,43.45
002656.SZ,摩登大道,2015-06-09 00:00:00,2015-06-25 00:00:00,11895.0,780.0,,员工薪酬及自筹资金,认购非公开发行,33.0,39.74,60.26
300009.SZ,安科生物,2015-06-09 00:00:00,2015-06-25 00:00:00,10125.0,848.7007,,员工薪酬及自筹资金,认购非公开发行,491.0,38.51,61.49
000938.SZ,紫光股份,2015-05-26 00:00:00,2015-06-26 00:00:00,53500.0,2018.1063,1.91,员工薪酬及自筹资金,认购非公开发行,1000.0,95.01,4.99
000938.SZ,紫光股份,2015-05-26 00:00:00,2015-06-26 00:00:00,127500.0,4809.5058,4.56,员工薪酬及自筹资金,认购非公开发行,8500.0,,
002648.SZ,卫星石化,2015-06-11 00:00:00,2015-06-27 00:00:00,5000.0,771.0,2.0,员工薪酬及自筹资金,竞价转让,309.0,89.46,10.54
600055.SH,万东医疗,2015-06-06 00:00:00,2015-06-27 00:00:00,14000.0,397.5014,,员工薪酬及自筹资金,认购非公开发行,56.0,,40.0
600521.SH,华海药业,2015-06-09 00:00:00,2015-06-30 00:00:00,30265.99,1493.142,1.88,员工薪酬及自筹资金,认购非公开发行,359.0,93.85,6.15
601579.SH,会稽山,2015-06-13 00:00:00,2015-06-30 00:00:00,4158.0,300.0,0.5660000000000001,员工薪酬及自筹资金,认购非公开发行,145.0,63.67,36.33
002056.SZ,横店东磁,2015-06-13 00:00:00,2015-07-01 00:00:00,,2300.0,5.6,员工薪酬及自筹资金,定向受让,49.0,42.3,48.75
002009.SZ,天奇股份,2015-04-29 00:00:00,2015-07-01 00:00:00,4500.0,301.0033,,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,,,
300097.SZ,智云股份,2015-06-06 00:00:00,2015-07-02 00:00:00,8310.0,300.0,2.03,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,342.0,78.18,11.69
002599.SZ,盛通股份,2015-06-16 00:00:00,2015-07-02 00:00:00,3000.0,297.84,2.26,员工薪酬及自筹资金,"竞价转让,定向受让",120.0,53.13,20.2
002587.SZ,奥拓电子,2015-06-16 00:00:00,2015-07-02 00:00:00,6001.085999999999,453.9399,,员工薪酬及自筹资金,认购非公开发行,,36.11,63.89
002081.SZ,金螳螂,2015-06-17 00:00:00,2015-07-04 00:00:00,48000.0,1683.0,,员工薪酬及自筹资金,认购非公开发行,450.0,99.44,0.56
600330.SH,天通股份,2015-06-16 00:00:00,2015-07-04 00:00:00,5000.0,565.185,0.68,员工薪酬及自筹资金,竞价转让,600.0,92.6,7.4
300352.SZ,北信源,2015-06-20 00:00:00,2015-07-07 00:00:00,6000.0,291.26,1.09,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",21.0,91.34,8.66
002552.SZ,宝鼎科技,2015-06-18 00:00:00,2015-07-07 00:00:00,9500.0,747.443,,员工薪酬及自筹资金,认购非公开发行,44.0,64.21,35.79
002527.SZ,新时达,2015-06-11 00:00:00,2015-07-08 00:00:00,600.0,,,员工薪酬及自筹资金,竞价转让,31.0,100.0,0.0
300295.SZ,三六五网,2015-06-11 00:00:00,2015-07-08 00:00:00,,144.0,,员工薪酬及自筹资金,股东赠与,480.0,79.804,20.195999999999998
002579.SZ,中京电子,2015-04-21 00:00:00,2015-07-08 00:00:00,2841.48,162.0,,员工薪酬及自筹资金,认购非公开发行,60.0,41.36,58.64
002547.SZ,春兴精工,2015-06-20 00:00:00,2015-07-09 00:00:00,7000.0,298.0,1.0,员工薪酬及自筹资金,认购非公开发行,60.0,74.29,25.71
002588.SZ,史丹利,2015-06-26 00:00:00,2015-07-14 00:00:00,10000.0,290.0,0.5,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",605.0,99.81,0.19
002572.SZ,索菲亚,2015-06-27 00:00:00,2015-07-14 00:00:00,16193.0,1222.34,2.77,员工薪酬及自筹资金,"竞价转让,定向受让",679.0,90.0,10.0
831450.OC,金宏气体,2015-06-25 00:00:00,2015-07-15 00:00:00,4800.0,400.0,6.5041,员工薪酬及自筹资金,认购非公开发行,40.0,32.5,67.5
600303.SH,曙光股份,2015-06-02 00:00:00,2015-07-16 00:00:00,6990.0,1000.0,,员工薪酬及自筹资金,认购非公开发行,150.0,90.3,9.7
300117.SZ,嘉寓股份,2015-06-24 00:00:00,2015-07-16 00:00:00,7500.0,449.0,1.38,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",207.0,75.72,24.28
002504.SZ,弘高创意,2015-04-16 00:00:00,2015-07-16 00:00:00,4000.0,139.958,0.33899999999999997,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",670.0,72.035,27.965
300174.SZ,元力股份,2015-06-25 00:00:00,2015-07-16 00:00:00,6900.0,426.7161,3.1376,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",39.0,54.35,45.65
002624.SZ,完美世界,2015-07-01 00:00:00,2015-07-17 00:00:00,19000.0,852.4001,1.37,员工薪酬及自筹资金,认购非公开发行,111.0,52.14,0.0
000732.SZ,泰禾集团,2015-07-02 00:00:00,2015-07-18 00:00:00,120000.0,3509.0,3.45,员工薪酬及自筹资金,竞价转让,500.0,87.5,12.5
002512.SZ,达华智能,2015-05-30 00:00:00,2015-07-21 00:00:00,25435.8,1420.201,,员工薪酬及自筹资金,认购非公开发行,,78.49,21.51
000926.SZ,福星股份,2015-07-04 00:00:00,2015-07-21 00:00:00,20000.0,4800.0,6.74,员工薪酬及自筹资金,竞价转让,,61.0,39.0
830931.OC,仁会生物,2015-06-20 00:00:00,2015-07-21 00:00:00,3000.0,89.16,0.83,员工薪酬及自筹资金,"竞价转让,定向受让",,,
002450.SZ,*ST康得,2015-07-06 00:00:00,2015-07-22 00:00:00,8000.0,1800.0,0.125,员工薪酬及自筹资金,竞价转让,380.0,,
002312.SZ,三泰控股,2015-07-11 00:00:00,2015-07-23 00:00:00,150000.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",2368.0,84.0,16.0
002279.SZ,久其软件,2015-07-14 00:00:00,2015-07-25 00:00:00,5000.0,462.2496,2.34,员工薪酬及自筹资金,竞价转让,500.0,91.2,8.8
002019.SZ,亿帆医药,2015-07-11 00:00:00,2015-07-28 00:00:00,1200.0,50.0,0.11,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,350.0,100.0,0.0
002722.SZ,金轮股份,2015-07-17 00:00:00,2015-07-28 00:00:00,6000.0,272.73,2.03,员工薪酬及自筹资金,竞价转让,,92.53,7.47
600067.SH,冠城大通,2015-07-10 00:00:00,2015-07-28 00:00:00,10000.0,4137.93,2.79,员工薪酬及自筹资金,竞价转让,500.0,80.0,20.0
300172.SZ,中电环保,2015-07-11 00:00:00,2015-07-28 00:00:00,1000.0,100.0,0.3,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,111.0,75.45,24.55
600873.SH,梅花生物,2015-07-10 00:00:00,2015-07-28 00:00:00,36000.0,5429.86,1.75,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",152.0,72.22,27.78
600666.SH,*ST瑞德,2015-07-14 00:00:00,2015-07-28 00:00:00,2000.0,147.11,0.19,员工薪酬及自筹资金,"竞价转让,定向受让",60.0,47.0,53.0
603456.SH,九洲药业,2015-07-11 00:00:00,2015-07-28 00:00:00,14000.0,295.92,1.42,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",390.0,,
002024.SZ,苏宁易购,2015-07-10 00:00:00,2015-07-28 00:00:00,100000.0,6565.99,0.71,员工薪酬及自筹资金,认购非公开发行,,,
002439.SZ,启明星辰,2015-07-13 00:00:00,2015-07-30 00:00:00,7450.0,690.4541,,员工薪酬及自筹资金,认购非公开发行,765.0,97.68,2.32
002050.SZ,三花智控,2015-07-14 00:00:00,2015-07-30 00:00:00,10888.0,2589.0,1.67,员工薪酬及自筹资金,竞价转让,536.0,91.41,8.59
002607.SZ,中公教育,2015-07-14 00:00:00,2015-07-30 00:00:00,10000.0,1248.44,3.5,员工薪酬及自筹资金,"竞价转让,定向受让",200.0,86.86,13.14
002631.SZ,德尔未来,2015-07-14 00:00:00,2015-07-30 00:00:00,1471.0,130.87,0.2,员工薪酬及自筹资金,竞价转让,112.0,68.46,31.54
600094.SH,大名城,2015-07-10 00:00:00,2015-07-30 00:00:00,,4023.11,2.0,员工薪酬及自筹资金,竞价转让,500.0,68.0,32.0
300065.SZ,海兰信,2015-07-14 00:00:00,2015-07-30 00:00:00,3000.0,137.0,0.65,员工薪酬及自筹资金,竞价转让,30.0,66.67,33.33
002118.SZ,紫鑫药业,2015-07-14 00:00:00,2015-07-30 00:00:00,3000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",20.0,58.33,41.67
300063.SZ,天龙集团,2015-07-14 00:00:00,2015-07-30 00:00:00,2167.0,106.75,0.53,员工薪酬及自筹资金,竞价转让,150.0,50.26,49.74
600208.SH,新湖中宝,2015-07-14 00:00:00,2015-07-30 00:00:00,60000.0,12931.03,1.59,员工薪酬及自筹资金,竞价转让,564.0,,
300274.SZ,阳光电源,2015-07-14 00:00:00,2015-07-30 00:00:00,12400.0,500.0,0.76,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",500.0,,
300006.SZ,莱美药业,2015-07-15 00:00:00,2015-07-31 00:00:00,5000.0,557.26,,员工薪酬及自筹资金,竞价转让,16.0,100.0,0.0
300306.SZ,远方信息,2015-07-11 00:00:00,2015-07-31 00:00:00,2700.0,118.0,0.49,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",100.0,96.59,3.41
300002.SZ,神州泰岳,2015-07-15 00:00:00,2015-07-31 00:00:00,35000.0,8826.12,4.45,员工薪酬及自筹资金,竞价转让,,,5.71
300292.SZ,吴通控股,2015-07-15 00:00:00,2015-07-31 00:00:00,1500.0,130.0,0.56,员工薪酬及自筹资金,竞价转让,287.0,89.13,10.87
002632.SZ,道明光学,2015-07-14 00:00:00,2015-07-31 00:00:00,3600.0,400.0,1.35,"员工薪酬及自筹资金,向第三方融资",竞价转让,158.0,83.375,16.625
002001.SZ,新和成,2015-07-13 00:00:00,2015-07-31 00:00:00,30900.0,2100.0,1.93,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",300.0,74.17,25.83
002479.SZ,富春环保,2015-07-15 00:00:00,2015-07-31 00:00:00,2000.0,516.8,0.65,员工薪酬及自筹资金,竞价转让,134.0,67.0,33.0
603618.SH,杭电股份,2015-07-15 00:00:00,2015-07-31 00:00:00,2500.0,369.28,1.73,员工薪酬及自筹资金,"竞价转让,定向受让",180.0,61.4,38.6
601258.SH,庞大集团,2015-07-15 00:00:00,2015-07-31 00:00:00,10000.0,6479.0,1.0,员工薪酬及自筹资金,竞价转让,46.0,50.0,50.0
002684.SZ,*ST猛狮,2015-07-14 00:00:00,2015-07-31 00:00:00,5000.0,373.0,2.0,员工薪酬及自筹资金,竞价转让,100.0,49.72,50.28
002756.SZ,永兴特钢,2015-07-14 00:00:00,2015-07-31 00:00:00,10200.0,255.0,1.275,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",10.0,20.39,79.61
002225.SZ,濮耐股份,2015-07-16 00:00:00,2015-08-01 00:00:00,5000.0,621.89,,员工薪酬及自筹资金,竞价转让,1500.0,85.0,15.0
002429.SZ,兆驰股份,2015-07-16 00:00:00,2015-08-01 00:00:00,12000.0,1223.0,0.76,股东或实际控制人借款,竞价转让,450.0,,
002375.SZ,亚厦股份,2015-07-18 00:00:00,2015-08-04 00:00:00,10000.0,684.69,0.51,员工薪酬及自筹资金,竞价转让,640.0,97.2,2.8
002734.SZ,利民股份,2015-07-16 00:00:00,2015-08-04 00:00:00,1500.0,75.0,0.58,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,40.0,94.0,6.0
600297.SH,广汇汽车,2015-07-17 00:00:00,2015-08-04 00:00:00,17000.0,2482.4766,0.677,员工薪酬及自筹资金,"竞价转让,定向受让",1000.0,93.2941,6.7059
600654.SH,*ST中安,2015-07-10 00:00:00,2015-08-04 00:00:00,2000.0,388.2238,0.3,员工薪酬及自筹资金,竞价转让,18.0,82.5,17.5
600363.SH,联创光电,2015-07-16 00:00:00,2015-08-04 00:00:00,3000.0,909.09,2.05,员工薪酬及自筹资金,竞价转让,178.0,66.97,33.03
002333.SZ,*ST罗普,2015-07-15 00:00:00,2015-08-04 00:00:00,5000.0,1494.0,5.945,员工薪酬及自筹资金,竞价转让,111.0,66.46,33.54
300257.SZ,开山股份,2015-07-11 00:00:00,2015-08-04 00:00:00,13800.0,,,"员工薪酬及自筹资金,向第三方融资",竞价转让,67.0,44.26,55.74
300202.SZ,聚龙股份,2015-07-20 00:00:00,2015-08-05 00:00:00,2000.0,406.5,0.74,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,150.0,85.15,14.85
002231.SZ,奥维通信,2015-07-17 00:00:00,2015-08-05 00:00:00,954.0,84.13,0.24,员工薪酬及自筹资金,竞价转让,137.0,75.68,24.32
300286.SZ,安科瑞,2015-07-17 00:00:00,2015-08-05 00:00:00,6500.0,345.74,2.42,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,200.0,75.38,24.62
300255.SZ,常山药业,2015-07-11 00:00:00,2015-08-06 00:00:00,5000.0,288.0,0.6,员工薪酬及自筹资金,竞价转让,180.0,68.0,32.0
002324.SZ,普利特,2015-07-18 00:00:00,2015-08-06 00:00:00,2500.0,200.0,0.74,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,180.0,,
002421.SZ,达实智能,2015-07-21 00:00:00,2015-08-07 00:00:00,5000.0,725.69,1.26,员工薪酬及自筹资金,"竞价转让,定向受让",,91.0,9.0
002483.SZ,润邦股份,2015-07-21 00:00:00,2015-08-07 00:00:00,1500.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",50.0,75.33,24.67
300160.SZ,秀强股份,2015-07-16 00:00:00,2015-08-07 00:00:00,2610.0,349.24,1.87,员工薪酬及自筹资金,"竞价转让,定向受让",145.0,59.2,40.8
300053.SZ,欧比特,2015-07-21 00:00:00,2015-08-07 00:00:00,3000.0,75.7767,0.33,员工薪酬及自筹资金,"竞价转让,定向受让",100.0,22.33,77.67
600165.SH,新日恒力,2015-07-22 00:00:00,2015-08-07 00:00:00,5000.0,995.0,3.63,员工薪酬及自筹资金,"竞价转让,定向受让",44.0,2.52,97.48
002264.SZ,新华都,2015-06-16 00:00:00,2015-08-08 00:00:00,6564.8,923.5,,员工薪酬及自筹资金,认购非公开发行,300.0,94.64,5.36
002236.SZ,大华股份,2015-07-21 00:00:00,2015-08-08 00:00:00,11700.0,,,股东或实际控制人借款,竞价转让,2035.0,93.56,6.44
600728.SH,佳都科技,2015-07-23 00:00:00,2015-08-08 00:00:00,4000.0,292.8,0.59,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",177.0,87.25,12.75
600398.SH,海澜之家,2015-07-23 00:00:00,2015-08-08 00:00:00,15000.0,,,员工薪酬及自筹资金,竞价转让,404.0,65.6,34.4
601636.SH,旗滨集团,2015-07-20 00:00:00,2015-08-08 00:00:00,1990.0,,,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,19.0,58.79,41.21
000893.SZ,*ST东凌,2015-07-21 00:00:00,2015-08-08 00:00:00,7200.0,576.0,1.41,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,125.0,58.06,41.94
000903.SZ,云内动力,2015-07-25 00:00:00,2015-08-11 00:00:00,6000.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",481.0,91.17,8.83
300019.SZ,硅宝科技,2015-07-21 00:00:00,2015-08-11 00:00:00,1000.0,123.01,0.38,员工薪酬及自筹资金,认购非公开发行,500.0,70.0,30.0
002362.SZ,汉王科技,2015-07-23 00:00:00,2015-08-11 00:00:00,4500.0,175.8,0.82,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,214.0,53.09,32.66
002220.SZ,ST天宝,2015-07-25 00:00:00,2015-08-11 00:00:00,2500.0,187.96,0.4,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,100.0,67.2,32.8
002223.SZ,鱼跃医疗,2015-07-11 00:00:00,2015-08-11 00:00:00,24000.0,,,员工薪酬及自筹资金,认购非公开发行,107.0,63.22,36.78
002497.SZ,雅化集团,2015-07-18 00:00:00,2015-08-11 00:00:00,16000.0,2381.0,2.48,员工薪酬及自筹资金,竞价转让,288.0,48.59,51.41
600122.SH,宏图高科,2015-07-25 00:00:00,2015-08-12 00:00:00,15000.0,1827.0,1.59,员工薪酬及自筹资金,竞价转让,500.0,91.82,8.18
002496.SZ,辉丰股份,2015-07-24 00:00:00,2015-08-12 00:00:00,15000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,385.0,56.0,44.0
002592.SZ,八菱科技,2015-07-17 00:00:00,2015-08-12 00:00:00,12000.0,,2.66,员工薪酬及自筹资金,"竞价转让,定向受让",138.0,41.66,58.34
002592.SZ,八菱科技,2015-07-17 00:00:00,2015-08-12 00:00:00,12000.0,,2.66,"员工薪酬及自筹资金,股东或实际控制人借款",定向受让,59.0,36.33,63.67
600477.SH,杭萧钢构,2015-07-10 00:00:00,2015-08-12 00:00:00,,,,持股计划奖励金,竞价转让,,,
300014.SZ,亿纬锂能,2015-07-28 00:00:00,2015-08-13 00:00:00,8000.0,984.41,2.46,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",200.0,91.625,8.375
002262.SZ,恩华药业,2015-07-28 00:00:00,2015-08-14 00:00:00,8000.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",460.0,93.0,7.0
002578.SZ,闽发铝业,2015-07-28 00:00:00,2015-08-14 00:00:00,2000.0,556.07,1.3,员工薪酬及自筹资金,"竞价转让,定向受让",310.0,70.0,30.0
002492.SZ,恒基达鑫,2015-07-28 00:00:00,2015-08-14 00:00:00,3000.0,219.2982,,员工薪酬及自筹资金,"竞价转让,定向受让",40.0,34.9,65.1
002418.SZ,康盛股份,2015-07-16 00:00:00,2015-08-15 00:00:00,7000.0,486.79,1.29,员工薪酬及自筹资金,竞价转让,105.0,90.26,9.74
300022.SZ,吉峰科技,2015-07-29 00:00:00,2015-08-15 00:00:00,5000.0,453.31,1.27,员工薪酬及自筹资金,竞价转让,100.0,69.0,31.0
300235.SZ,方直科技,2015-07-20 00:00:00,2015-08-15 00:00:00,1150.0,149.42,0.94,员工薪酬及自筹资金,竞价转让,75.0,18.7,80.0
002054.SZ,德美化工,2015-07-29 00:00:00,2015-08-18 00:00:00,3500.0,312.5,1.06,员工薪酬及自筹资金,"竞价转让,上市公司回购",720.0,79.6,20.4
300168.SZ,万达信息,2015-07-31 00:00:00,2015-08-18 00:00:00,10000.0,529.38,0.52,员工薪酬及自筹资金,竞价转让,2010.0,67.5,32.5
300209.SZ,天泽信息,2015-07-15 00:00:00,2015-08-18 00:00:00,2500.0,344.83,1.41,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让,认购非公开发行",60.0,62.0,38.0
600532.SH,宏达矿业,2015-07-31 00:00:00,2015-08-18 00:00:00,6000.0,344.4317,0.87,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,276.0,41.45,58.55
600393.SH,粤泰股份,2015-07-31 00:00:00,2015-08-18 00:00:00,8400.0,1500.0,5.0,"员工薪酬及自筹资金,股东或实际控制人借款",定向受让,40.0,33.33,66.67
300201.SZ,海伦哲,2015-07-31 00:00:00,2015-08-18 00:00:00,2500.0,481.14,1.32,员工薪酬及自筹资金,竞价转让,117.0,29.4,70.6
000681.SZ,视觉中国,2015-07-28 00:00:00,2015-08-19 00:00:00,10000.0,603.86,0.87,员工薪酬及自筹资金,竞价转让,150.0,61.7,9.43
002557.SZ,洽洽食品,2015-08-01 00:00:00,2015-08-19 00:00:00,5000.0,915.75,1.81,员工薪酬及自筹资金,竞价转让,500.0,40.0,60.0
600105.SH,永鼎股份,2015-08-01 00:00:00,2015-08-19 00:00:00,3000.0,303.18,0.8,员工薪酬及自筹资金,"竞价转让,定向受让",19.0,19.0,81.0
601890.SH,亚星锚链,2015-08-04 00:00:00,2015-08-20 00:00:00,2528.0,453.0,0.47,员工薪酬及自筹资金,竞价转让,74.0,74.37,25.63
430418.OC,苏轴股份,2015-08-04 00:00:00,2015-08-20 00:00:00,2300.0,230.0,5.75,员工薪酬及自筹资金,认购非公开发行,27.0,40.8696,59.1304
000592.SZ,平潭发展,2015-07-14 00:00:00,2015-08-21 00:00:00,5000.0,302.0,0.36,员工薪酬及自筹资金,"竞价转让,定向受让",80.0,,
600590.SH,泰豪科技,2015-07-15 00:00:00,2015-08-22 00:00:00,10000.0,1028.81,1.66,员工薪酬及自筹资金,竞价转让,200.0,80.0,20.0
300381.SZ,溢多利,2015-07-29 00:00:00,2015-08-22 00:00:00,20094.0,600.0,,员工薪酬及自筹资金,认购非公开发行,,72.15,27.85
603555.SH,贵人鸟,2015-08-06 00:00:00,2015-08-22 00:00:00,5000.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",176.0,60.0,40.0
002451.SZ,摩恩电气,2015-08-06 00:00:00,2015-08-22 00:00:00,3400.0,829.0,1.89,员工薪酬及自筹资金,竞价转让,55.0,56.12,43.88
300032.SZ,金龙机电,2015-07-30 00:00:00,2015-08-22 00:00:00,5000.0,451.26,0.67,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,12.0,0.0,100.0
002591.SZ,恒大高新,2015-08-07 00:00:00,2015-08-25 00:00:00,4800.0,,,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",175.0,92.44,7.56
002229.SZ,鸿博股份,2015-08-06 00:00:00,2015-08-25 00:00:00,2000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",71.0,83.35,16.65
600240.SH,*ST华业,2015-08-08 00:00:00,2015-08-25 00:00:00,10000.0,1550.0,1.09,员工薪酬及自筹资金,竞价转让,88.0,70.0,30.0
300084.SZ,海默科技,2015-07-25 00:00:00,2015-08-25 00:00:00,3500.0,,,员工薪酬及自筹资金,竞价转让,110.0,,
002259.SZ,*ST升达,2015-08-07 00:00:00,2015-08-26 00:00:00,6000.0,2155.69,3.35,员工薪酬及自筹资金,竞价转让,200.0,80.0,20.0
300165.SZ,天瑞仪器,2015-07-15 00:00:00,2015-08-28 00:00:00,11950.0,582.0,2.53,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",166.0,92.05,7.95
000536.SZ,华映科技,2015-08-12 00:00:00,2015-08-29 00:00:00,4000.0,293.0,0.38,员工薪酬及自筹资金,竞价转让,1000.0,92.125,7.875
002665.SZ,首航节能,2015-08-14 00:00:00,2015-09-01 00:00:00,40000.0,1365.18,1.87,"员工薪酬及自筹资金,向第三方融资",竞价转让,248.0,,
002217.SZ,合力泰,2015-08-06 00:00:00,2015-09-02 00:00:00,32000.0,,,员工薪酬及自筹资金,"竞价转让,定向受让",500.0,,
600289.SH,*ST信通,2015-08-14 00:00:00,2015-09-03 00:00:00,2313.0712,135.3464,0.21,员工薪酬及自筹资金,认购非公开发行,125.0,64.76,35.24
600289.SH,*ST信通,2015-05-27 00:00:00,2015-09-03 00:00:00,2407.6212,140.8789,0.22,员工薪酬及自筹资金,认购非公开发行,128.0,62.22,37.78
603806.SH,福斯特,2015-08-20 00:00:00,2015-09-08 00:00:00,4500.0,109.91,0.27,"员工薪酬及自筹资金,持股计划奖励金",,169.0,88.61,11.39
600571.SH,信雅达,2015-08-22 00:00:00,2015-09-08 00:00:00,3700.0,62.26,0.31,员工薪酬及自筹资金,竞价转让,270.0,83.51,16.49
002241.SZ,歌尔股份,2015-08-20 00:00:00,2015-09-09 00:00:00,12000.0,924.5,,员工薪酬及自筹资金,竞价转让,150.0,100.0,0.0
600673.SH,东阳光,2015-08-20 00:00:00,2015-09-09 00:00:00,4000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,90.0,86.6,13.4
603678.SH,火炬电子,2015-08-21 00:00:00,2015-09-10 00:00:00,,51.6,0.31,员工薪酬及自筹资金,股东赠与,56.0,90.31,7.75
600614.SH,*ST鹏起,2015-08-29 00:00:00,2015-09-10 00:00:00,2000.0,245.58,0.32,员工薪酬及自筹资金,"竞价转让,定向受让",30.0,51.0,49.0
