实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-03-23,20101231,000014,母公司报表(单季度调整),-20353434.08
2012-03-23,20101231,000014,合并报表(单季度调整),22159283.01
2011-04-25,20101231,000014,合并报表(单季度),22159283.01
2011-04-25,20101231,000014,母公司报表(单季度),-20353434.08
2011-04-25,20101231,000014,母公司报表,35429638.39
2011-04-25,20101231,000014,合并报表,70599580.42
2011-04-22,20101231,000015,合并报表(单季度),-27248297.32
2011-04-22,20101231,000015,合并报表,-55331979.97
2012-04-24,20101231,000015,合并报表(调整),-55331979.97
2012-04-24,20101231,000015,合并报表(单季度调整),-27248297.32
2011-04-28,20101231,000016,合并报表,83947861.32
2011-04-28,20101231,000016,母公司报表,-5821151.93
2011-04-28,20101231,000016,母公司报表(单季度),34506042.85
2011-04-28,20101231,000016,合并报表(单季度),22769386.55
2012-04-27,20101231,000016,合并报表(调整),83947861.32
2012-04-27,20101231,000016,母公司报表(调整),-5821151.93
2012-04-27,20101231,000016,合并报表(单季度调整),22769386.55
2012-04-27,20101231,000016,母公司报表(单季度调整),34506042.85
2011-04-27,20101231,000017,母公司报表(单季度),125515724.42
2011-04-27,20101231,000017,合并报表,64477414.44
2011-04-27,20101231,000017,母公司报表,66120624.68
2011-04-27,20101231,000017,合并报表(单季度),125873064.88
2012-04-21,20101231,000017,母公司报表(单季度调整),125515724.42
2012-04-21,20101231,000017,母公司报表(调整),66120624.68
2012-04-21,20101231,000017,合并报表(单季度调整),125873064.88
2012-04-21,20101231,000017,合并报表(调整),64477414.44
2011-04-29,20101231,000018,母公司报表,-3610120.0
2011-04-29,20101231,000018,合并报表,4102924.0
2011-04-29,20101231,000018,母公司报表(单季度),-3188546.0
2011-04-29,20101231,000018,合并报表(单季度),-2272758.0
2012-04-24,20101231,000018,母公司报表(单季度调整),-3188546.0
2012-04-24,20101231,000018,合并报表(调整),4102924.0
2012-04-24,20101231,000018,母公司报表(调整),-3610120.0
2012-04-24,20101231,000018,合并报表(单季度调整),-2272758.0
2011-04-29,20101231,000019,合并报表,5687644.79
2011-04-29,20101231,000019,母公司报表,-3378847.06
2011-04-29,20101231,000019,母公司报表(单季度),24885773.67
2011-04-29,20101231,000019,合并报表(单季度),27934827.63
2012-04-07,20101231,000019,合并报表(调整),5687644.79
2012-04-07,20101231,000019,母公司报表(单季度调整),24885773.67
2012-04-07,20101231,000019,母公司报表(调整),-3378847.06
2012-04-07,20101231,000019,合并报表(单季度调整),27934827.63
2012-04-14,20101231,000020,母公司报表(单季度调整),3880103.8
