实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-03-09,20111231,1,合并报表,10278631000.0
2012-03-13,20111231,2,合并报表,9624875268.23
2013-04-27,20111231,3,合并报表,-13722698.98
2012-04-21,20111231,4,合并报表,2989891.05
2012-04-24,20111231,5,合并报表,11414651.25
2012-04-18,20111231,6,合并报表,433967868.62
2012-02-23,20111231,7,合并报表,5701718.89
2012-03-03,20111231,8,合并报表,-539451.82
2012-04-26,20111231,9,合并报表,269923293.62
2012-04-27,20111231,10,合并报表,5023898.7
2012-03-30,20111231,11,合并报表,257461077.54
2012-03-27,20111231,12,合并报表,1178229197.0
2012-03-23,20111231,14,合并报表,57278218.88
2012-04-24,20111231,15,合并报表,-55423910.27
2012-04-27,20111231,16,合并报表,24972838.12
2012-04-21,20111231,17,合并报表,39720901.46
2012-04-24,20111231,18,合并报表,-17361593.0
2012-04-07,20111231,19,合并报表,6980233.57
2012-04-14,20111231,20,合并报表,10374521.2
2012-03-30,20111231,21,合并报表,251508997.33
2012-04-24,20111231,23,合并报表,9275793.43
2012-03-20,20111231,24,合并报表,2591781031.0
2012-04-14,20111231,25,合并报表,2157675.12
2012-02-28,20111231,26,合并报表,159457800.0
2012-04-16,20111231,27,合并报表,1124610945.53
2012-03-16,20111231,28,合并报表,330307489.82
2012-03-31,20111231,29,合并报表,101200060.65
2012-03-16,20111231,30,合并报表,1456064213.41
2012-03-30,20111231,31,合并报表,421995724.17
2012-04-21,20111231,32,合并报表,27218645.37
2012-03-24,20111231,33,合并报表,2815723.65
2012-02-29,20111231,34,合并报表,16602198.93
2012-03-20,20111231,35,合并报表,-21818341.11
2012-04-24,20111231,36,合并报表,69408577.22
2012-04-24,20111231,37,合并报表,17529063.37
2012-04-20,20111231,38,合并报表,2091182.7
2012-03-23,20111231,39,合并报表,3690926000.0
2012-04-07,20111231,40,合并报表,140080654.63
2012-04-12,20111231,42,合并报表,319093933.46
2012-03-10,20111231,43,合并报表,517334892.89
2012-03-27,20111231,45,合并报表,48915594.47
2012-04-21,20111231,46,合并报表,257787152.05
2012-04-17,20111231,47,合并报表,-37656362.49
2012-04-24,20111231,48,合并报表,483048101.94
2012-03-28,20111231,49,合并报表,119320357.01
2012-02-28,20111231,50,合并报表,101133343.0
2012-04-20,20111231,55,合并报表,65503925.58
2012-04-20,20111231,56,合并报表,-129900924.74
2012-03-27,20111231,58,合并报表,68995713.25
2012-03-15,20111231,59,合并报表,842002132.2
2012-03-30,20111231,60,合并报表,950748960.18
2012-04-07,20111231,61,合并报表,206819213.89
2012-03-17,20111231,62,合并报表,49414718.58
2012-03-29,20111231,63,合并报表,2060166000.0
2012-03-13,20111231,65,合并报表,73335931.35
2012-04-13,20111231,66,合并报表,101250020.08
2012-03-16,20111231,68,合并报表,-40864297.78
2012-03-17,20111231,69,合并报表,3177162768.96
2012-04-25,20111231,70,合并报表,36768772.79
2012-04-10,20111231,78,合并报表,52528359.24
2012-03-17,20111231,88,合并报表,426363200.46
2012-03-24,20111231,89,合并报表,657309522.36
2012-04-10,20111231,90,合并报表,203219543.29
2012-04-27,20111231,96,合并报表,93518241.19
2012-03-13,20111231,99,合并报表,138933529.22
2012-02-28,20111231,100,合并报表,1013171000.0
2012-04-25,20111231,150,合并报表,7879774.73
2012-03-17,20111231,151,合并报表,-11003685.05
2012-04-18,20111231,153,合并报表,9913123.69
2012-04-26,20111231,155,合并报表,-214599362.01
2012-03-13,20111231,156,合并报表,104490985.38
2012-03-16,20111231,157,合并报表,8065640596.14
2012-04-25,20111231,158,合并报表,57284042.2
2012-03-27,20111231,159,合并报表,328091412.9
2012-04-27,20111231,166,合并报表,1671486632.4
2012-04-09,20111231,301,合并报表,113424621.94
2013-04-01,20111231,333,合并报表,3472650510.0
2012-03-30,20111231,338,合并报表,5596927166.88
2012-03-23,20111231,400,合并报表,156502890.47
2012-03-30,20111231,401,合并报表,1525410390.26
2012-04-09,20111231,402,合并报表,2017512321.58
2012-04-27,20111231,403,合并报表,40706459.51
2012-04-12,20111231,404,合并报表,30603981.19
2012-03-29,20111231,405,合并报表,-84092077.12
2012-04-21,20111231,407,合并报表,7273378.28
2012-04-27,20111231,408,合并报表,7348535.11
2012-04-20,20111231,409,合并报表,5605807.75
2012-03-17,20111231,410,合并报表,104771715.46
2012-04-12,20111231,411,合并报表,187272544.11
2012-02-29,20111231,413,合并报表,11850352.65
2012-03-16,20111231,415,合并报表,366930840.09
2012-04-25,20111231,416,合并报表,31897986.44
2012-03-29,20111231,417,合并报表,504651543.12
2012-03-02,20111231,418,合并报表,453327963.81
2012-04-27,20111231,419,合并报表,216298201.34
2012-02-25,20111231,420,合并报表,-293974617.24
2012-03-20,20111231,421,合并报表,88641953.65
2012-03-30,20111231,422,合并报表,817717336.94
2012-03-08,20111231,423,合并报表,856166170.0
2012-04-11,20111231,425,合并报表,3378628483.51
2012-03-29,20111231,426,合并报表,187398491.18
2012-03-29,20111231,428,合并报表,117861652.17
2012-03-30,20111231,429,合并报表,216786205.9
2012-03-28,20111231,430,合并报表,89647968.28
2012-03-29,20111231,488,合并报表,608271256.29
2012-03-31,20111231,498,合并报表,467182.63
2012-04-27,20111231,501,合并报表,331290428.07
2012-03-23,20111231,502,合并报表,25562198.42
2012-04-27,20111231,503,合并报表,18000706.01
2012-04-26,20111231,504,合并报表,-29903147.4
2012-04-20,20111231,505,合并报表,-49478157.24
2012-04-24,20111231,506,合并报表,223211139.0
2012-02-28,20111231,507,合并报表,291994171.36
2012-04-24,20111231,509,合并报表,-112870540.17
2012-04-12,20111231,510,合并报表,-115878485.56
2012-03-06,20111231,511,合并报表,-14367353.86
2012-03-24,20111231,513,合并报表,359369880.94
2012-02-25,20111231,514,合并报表,160168289.04
2012-03-23,20111231,516,合并报表,127253295.83
2012-04-06,20111231,517,合并报表,404750497.11
2012-04-27,20111231,518,合并报表,-5962563.94
2012-04-18,20111231,519,合并报表,-11065279.77
2012-04-25,20111231,520,合并报表,-882849554.93
2012-03-21,20111231,521,合并报表,106614733.84
2012-03-06,20111231,522,合并报表,261085612.9
2012-04-21,20111231,523,合并报表,22710962.15
2012-03-10,20111231,524,合并报表,20476288.19
2012-02-29,20111231,525,合并报表,68693533.81
2012-04-25,20111231,526,合并报表,4451285.93
2012-03-10,20111231,527,合并报表,3698797330.0
2012-03-27,20111231,528,合并报表,1321428070.36
2012-03-28,20111231,529,合并报表,67561563.57
2012-03-08,20111231,530,合并报表,81621060.33
2012-03-29,20111231,531,合并报表,70588475.85
2012-04-13,20111231,532,合并报表,27512373.8
2012-04-25,20111231,533,合并报表,70251003.52
2012-04-21,20111231,534,合并报表,12184495.3
2012-03-08,20111231,536,合并报表,346729158.79
2012-02-18,20111231,537,合并报表,280408296.72
2012-03-17,20111231,538,合并报表,1210908666.46
2012-03-08,20111231,539,合并报表,356321879.0
2012-04-26,20111231,540,合并报表,525093863.12
2012-04-25,20111231,541,合并报表,291660093.73
2012-03-23,20111231,543,合并报表,19267603.29
2012-03-30,20111231,544,合并报表,81696197.3
2012-04-26,20111231,545,合并报表,-5560328.35
2012-04-21,20111231,546,合并报表,19650308.88
2012-04-11,20111231,547,合并报表,107137035.02
2012-04-27,20111231,548,合并报表,52467648.13
2012-03-16,20111231,550,合并报表,1870918343.0
2012-03-20,20111231,551,合并报表,37259763.75
2012-04-17,20111231,552,合并报表,70813359.51
2012-03-16,20111231,553,合并报表,52863980.46
2012-04-25,20111231,554,合并报表,9207283.73
2012-04-24,20111231,555,合并报表,618390.16
2012-04-18,20111231,556,合并报表,1516116.1
2012-04-24,20111231,557,合并报表,-230636298.89
2012-04-06,20111231,558,合并报表,61624202.08
2012-03-20,20111231,559,合并报表,465393589.19
2012-04-19,20111231,560,合并报表,82937425.7
2012-04-10,20111231,561,合并报表,110521088.41
2012-03-24,20111231,562,合并报表,645591117.7
2012-04-27,20111231,563,合并报表,154354276.23
2012-04-24,20111231,564,合并报表,61449613.91
2012-02-29,20111231,565,合并报表,-159149548.03
2012-04-27,20111231,566,合并报表,105075287.73
2012-04-13,20111231,567,合并报表,1329948.41
2012-04-20,20111231,568,合并报表,2905027184.03
2012-04-26,20111231,570,合并报表,52856879.07
2012-04-27,20111231,571,合并报表,149285790.58
2012-04-14,20111231,572,合并报表,335308777.36
2012-04-14,20111231,573,合并报表,56954086.97
2012-02-28,20111231,576,合并报表,-195687279.23
2012-04-18,20111231,581,合并报表,1204617075.56
2012-04-12,20111231,582,合并报表,39250559.73
2012-04-25,20111231,583,合并报表,-46542946.1
2012-04-21,20111231,584,合并报表,10516489.14
2012-03-30,20111231,585,合并报表,-32197171.37
2012-03-14,20111231,586,合并报表,18586608.73
2012-02-21,20111231,587,合并报表,546418152.53
2012-04-21,20111231,589,合并报表,95384005.47
2012-04-18,20111231,590,合并报表,72134381.36
2012-03-17,20111231,591,合并报表,10477853.83
2012-04-27,20111231,592,合并报表,10093279.72
2012-04-26,20111231,593,合并报表,51222728.83
2012-04-28,20111231,594,合并报表,-18584360.43
2012-03-20,20111231,595,合并报表,7166367.31
2012-03-29,20111231,596,合并报表,566390286.36
2012-04-06,20111231,597,合并报表,-389961484.11
2012-02-03,20111231,598,合并报表,587749489.34
2012-04-13,20111231,599,合并报表,36106902.79
2012-04-18,20111231,600,合并报表,14396561.47
2012-04-21,20111231,601,合并报表,85961940.55
2012-02-21,20111231,602,合并报表,476087767.49
2012-03-30,20111231,603,合并报表,351216150.39
2012-03-09,20111231,605,合并报表,-1833580.3
2012-02-15,20111231,606,合并报表,-15224092.62
2012-02-21,20111231,607,合并报表,24547725.96
2012-04-21,20111231,608,合并报表,173052000.0
2012-02-29,20111231,609,合并报表,165212940.82
2012-04-25,20111231,610,合并报表,27535771.62
2012-04-27,20111231,611,合并报表,5848741.79
2012-02-18,20111231,612,合并报表,381283803.39
2012-04-26,20111231,613,合并报表,-5281228.5
2012-03-15,20111231,615,合并报表,-73063207.13
2012-03-01,20111231,616,合并报表,362412431.16
2012-03-16,20111231,617,合并报表,-96564934.55
2012-03-30,20111231,619,合并报表,89330733.84
2012-04-07,20111231,620,合并报表,606703419.91
2012-04-26,20111231,622,合并报表,-34350561.0
2012-04-17,20111231,623,合并报表,1982049203.74
2012-04-26,20111231,625,合并报表,967940639.48
2012-04-27,20111231,626,合并报表,30348079.08
2012-04-27,20111231,627,合并报表,-101683901.81
2012-03-14,20111231,628,合并报表,6027200.26
2012-04-27,20111231,629,合并报表,1686034.79
2012-03-29,20111231,630,合并报表,1432084096.86
2012-03-26,20111231,631,合并报表,522373150.0
2012-04-20,20111231,632,合并报表,11379378.69
2012-04-14,20111231,633,合并报表,6871909.64
2012-03-15,20111231,635,合并报表,104418003.36
2012-04-24,20111231,636,合并报表,164569299.29
2012-04-23,20111231,637,合并报表,7391306.77
2012-04-20,20111231,638,合并报表,4719940.88
