实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2015-03-13,20141231,1,合并报表,19802000000.0
2015-03-31,20141231,2,合并报表,15745454144.7
2015-04-30,20141231,3,合并报表,-12958233.77
2015-04-30,20141231,4,合并报表,3801373.74
2015-04-11,20141231,5,合并报表,43163944.16
2015-04-01,20141231,6,合并报表,508030702.22
2015-04-30,20141231,7,合并报表,-30193896.42
2015-02-10,20141231,8,合并报表,7767773.9
2015-04-29,20141231,9,合并报表,303325021.75
2015-03-28,20141231,10,合并报表,-74553205.01
2015-04-01,20141231,11,合并报表,417498679.91
2015-03-31,20141231,12,合并报表,873653030.0
2015-03-31,20141231,14,合并报表,60783578.72
2015-04-30,20141231,15,合并报表,-46773509.48
2015-04-03,20141231,16,合并报表,52623527.86
2015-04-03,20141231,17,合并报表,4885678.56
2015-02-11,20141231,18,合并报表,4290905.0
2015-04-21,20141231,19,合并报表,13323820.43
2015-04-28,20141231,20,合并报表,7687620.27
2015-03-30,20141231,21,合并报表,175676362.7
2015-02-13,20141231,23,合并报表,17246760.35
2015-03-10,20141231,24,合并报表,4263636555.36
2015-04-10,20141231,25,合并报表,10345217.67
2015-03-12,20141231,26,合并报表,145591136.39
2015-03-27,20141231,27,合并报表,2034053498.89
2015-03-21,20141231,28,合并报表,652497176.03
2015-03-28,20141231,29,合并报表,298033316.49
2015-04-29,20141231,30,合并报表,626375268.87
2015-04-18,20141231,31,合并报表,598526380.97
2015-03-17,20141231,32,合并报表,21841239.07
2015-04-30,20141231,33,合并报表,-449532898.7
2015-03-30,20141231,34,合并报表,61471205.74
2015-04-21,20141231,35,合并报表,175015909.54
2015-04-28,20141231,36,合并报表,34376124.77
2015-04-25,20141231,37,合并报表,-330513284.99
2015-04-28,20141231,38,合并报表,-49336423.82
2015-03-25,20141231,39,合并报表,2477802000.0
2015-03-30,20141231,40,合并报表,53168620.57
2015-03-21,20141231,42,合并报表,305618650.68
2015-03-20,20141231,43,合并报表,492499999.87
2015-03-31,20141231,45,合并报表,-113591328.26
2015-04-04,20141231,46,合并报表,1558688940.46
2016-07-30,20141231,47,合并报表,-6211297.83
2015-04-28,20141231,48,合并报表,113799799.5
2015-03-03,20141231,49,合并报表,234542884.01
2015-02-06,20141231,50,合并报表,612655983.0
2015-03-27,20141231,55,合并报表,96998429.76
2015-03-31,20141231,56,合并报表,-335060535.45
2015-03-28,20141231,58,合并报表,48380294.05
2015-04-14,20141231,59,合并报表,-1509123963.77
2015-04-02,20141231,60,合并报表,470134648.82
2015-04-30,20141231,61,合并报表,84377040.9
2015-03-14,20141231,62,合并报表,477555314.2
2015-03-26,20141231,63,合并报表,2633571000.0
2015-03-24,20141231,65,合并报表,184594289.22
2015-04-18,20141231,66,合并报表,57723671.21
2015-03-24,20141231,68,合并报表,-108351444.15
2015-03-21,20141231,69,合并报表,4774465095.86
2015-04-23,20141231,70,合并报表,55588453.43
2015-04-21,20141231,78,合并报表,23791540.23
2015-04-18,20141231,88,合并报表,439988052.43
2015-04-30,20141231,89,合并报表,267996010.23
2015-04-21,20141231,90,合并报表,421477001.93
2015-04-30,20141231,96,合并报表,42008759.71
2015-03-17,20141231,99,合并报表,202323449.62
2015-03-03,20141231,100,合并报表,3183206000.0
2015-04-15,20141231,150,合并报表,29822564.68
2015-03-28,20141231,151,合并报表,113376783.47
2015-03-19,20141231,153,合并报表,40990920.28
2015-04-30,20141231,155,合并报表,-1566819796.96
2015-03-31,20141231,156,合并报表,383768698.37
2015-03-28,20141231,157,合并报表,594068242.2
2015-02-06,20141231,158,合并报表,24284736.36
2015-04-21,20141231,159,合并报表,129027226.7
2015-04-30,20141231,166,合并报表,3427677529.13
2015-04-14,20141231,301,合并报表,225158193.4
2015-03-31,20141231,333,合并报表,10502220260.0
2015-03-31,20141231,338,合并报表,5024502354.07
2015-03-27,20141231,400,合并报表,1062277611.68
2015-04-14,20141231,401,合并报表,34707565.28
2015-03-31,20141231,402,合并报表,2927455188.84
2015-04-30,20141231,403,合并报表,122516595.48
2015-03-25,20141231,404,合并报表,187184740.4
2015-04-23,20141231,405,合并报表,1339877.01
2015-03-07,20141231,407,合并报表,36702777.48
2015-04-29,20141231,408,合并报表,-55246847.78
2015-04-28,20141231,409,合并报表,-31274187.82
2015-04-17,20141231,410,合并报表,25578595.12
2015-04-18,20141231,411,合并报表,65447137.92
2015-02-17,20141231,413,合并报表,880625183.53
2015-04-29,20141231,415,合并报表,913196000.0
2015-03-05,20141231,416,合并报表,87926911.09
2015-04-02,20141231,417,合并报表,366018398.69
2015-03-20,20141231,418,合并报表,698195731.48
2015-04-11,20141231,419,合并报表,143153197.21
2015-03-28,20141231,420,合并报表,20378185.75
2015-03-24,20141231,421,合并报表,164331965.49
2015-04-15,20141231,422,合并报表,31026267.35
2015-03-19,20141231,423,合并报表,1365547790.15
2015-03-30,20141231,425,合并报表,413301876.07
2015-04-30,20141231,426,合并报表,161807438.01
2015-04-24,20141231,428,合并报表,-98841500.44
2015-03-25,20141231,429,合并报表,318754807.85
2015-03-10,20141231,430,合并报表,60509581.78
2015-03-27,20141231,488,合并报表,505204384.73
2015-04-28,20141231,498,合并报表,311247728.32
2015-03-04,20141231,501,合并报表,659694793.04
2015-03-13,20141231,502,合并报表,3262819.52
2015-04-18,20141231,503,合并报表,24977289.73
2015-04-21,20141231,504,合并报表,-26151229.17
2015-04-15,20141231,505,合并报表,-173422925.66
2015-04-28,20141231,506,合并报表,-216567179.78
2015-04-08,20141231,507,合并报表,17143819.0
2015-02-17,20141231,509,合并报表,-50915827.23
2015-04-10,20141231,510,合并报表,-147274367.67
2015-04-30,20141231,511,合并报表,-271357933.23
2015-03-24,20141231,513,合并报表,515978431.82
2015-03-10,20141231,514,合并报表,122388491.56
2015-04-24,20141231,516,合并报表,350282600.03
2015-04-28,20141231,517,合并报表,309254538.1
2015-03-28,20141231,518,合并报表,5956603.04
2015-04-14,20141231,519,合并报表,395900040.14
2015-04-28,20141231,520,合并报表,4307337010.7
2015-03-26,20141231,521,合并报表,294508518.37
2015-03-19,20141231,523,合并报表,43924656.07
2015-03-14,20141231,524,合并报表,36367314.59
2015-03-26,20141231,525,合并报表,427082977.24
2015-04-27,20141231,526,合并报表,1966548.91
2015-03-31,20141231,528,合并报表,198520018.97
2015-04-25,20141231,529,合并报表,153144210.17
2015-04-24,20141231,530,合并报表,115439722.39
2015-03-19,20141231,531,合并报表,645449443.29
2015-03-28,20141231,532,合并报表,31567135.79
2015-04-23,20141231,533,合并报表,127153169.01
2015-02-28,20141231,534,合并报表,51234352.57
2015-03-10,20141231,536,合并报表,249723457.05
2015-02-07,20141231,537,合并报表,280642651.95
2015-04-28,20141231,538,合并报表,2506076501.86
2015-04-18,20141231,539,合并报表,3003977134.0
2015-02-17,20141231,540,合并报表,1603579642.41
2015-04-27,20141231,541,合并报表,266125048.97
2015-03-21,20141231,543,合并报表,927926832.72
2015-04-03,20141231,544,合并报表,66169974.33
2015-02-11,20141231,545,合并报表,41697527.08
2015-03-10,20141231,546,合并报表,129662065.72
2015-03-06,20141231,547,合并报表,206876481.75
2015-04-11,20141231,548,合并报表,17867204.02
2015-03-17,20141231,550,合并报表,2107852075.0
2015-03-31,20141231,551,合并报表,31050806.0
2015-03-31,20141231,552,合并报表,331988780.28
2015-03-12,20141231,553,合并报表,491771929.22
2015-04-25,20141231,554,合并报表,6789106.12
2015-03-31,20141231,555,合并报表,279531140.01
2015-04-23,20141231,556,合并报表,1300633.37
